,datetimeepoch,date,datetime,hr,season,temp,feelslike,humidity,dew,precip,windspeed,visibilty,cloudcover,conditions,mnth,cnt
28,1293958800,20110102,201101024,4,1,57.4,57.4,94.1,55.8,0.0,9.8,8.8,100.0,Overcast,1,3
29,1293966000,20110102,201101026,6,1,51.7,51.7,77.14,44.8,0.0,8.4,9.9,100.0,Overcast,1,2
30,1293969600,20110102,201101027,7,1,51.7,51.7,70.96,42.6,0.0,10.1,9.9,100.0,Overcast,1,1
31,1293973200,20110102,201101028,8,1,51.3,51.3,71.89,42.6,0.0,8.8,9.9,100.0,Overcast,1,8
32,1293976800,20110102,201101029,9,1,49.9,45.9,76.1,42.6,0.0,10.0,9.9,100.0,Overcast,1,20
33,1293980400,20110102,2011010210,10,1,48.5,44.4,80.17,42.7,0.01,9.3,9.9,100.0,"Rain, Overcast",1,53
34,1293984000,20110102,2011010211,11,1,48.5,44.1,71.83,39.8,0.0,10.0,9.9,100.0,Overcast,1,70
35,1293987600,20110102,2011010212,12,1,48.0,42.8,68.23,38.0,0.0,12.4,9.9,100.0,Overcast,1,93
36,1293991200,20110102,2011010213,13,1,48.3,45.8,66.13,37.5,0.0,5.7,9.9,100.0,Overcast,1,75
37,1293994800,20110102,2011010214,14,1,47.8,44.3,77.36,41.1,0.02,7.6,8.6,100.0,"Rain, Overcast",1,59
38,1293998400,20110102,2011010215,15,1,46.5,43.0,81.39,41.1,0.02,6.8,8.5,100.0,"Rain, Overcast",1,74
39,1294002000,20110102,2011010216,16,1,46.0,42.7,73.24,37.9,0.02,6.4,9.9,89.7,"Rain, Partially cloudy",1,76
40,1294005600,20110102,2011010217,17,1,46.3,42.4,59.23,32.8,0.0,7.6,9.9,89.7,Partially cloudy,1,65
41,1294009200,20110102,2011010218,18,1,47.7,41.9,47.43,28.6,0.0,14.0,9.9,100.0,Overcast,1,53
42,1294012800,20110103,2011010319,19,1,44.1,36.3,43.26,23.2,0.0,18.3,9.9,87.5,Partially cloudy,1,110
43,1294016400,20110103,2011010320,20,1,42.1,34.6,40.68,19.9,0.0,15.0,9.9,24.4,Partially cloudy,1,52
44,1294020000,20110103,2011010321,21,1,39.2,31.3,44.39,19.3,0.0,13.7,9.9,0.0,Clear,1,52
45,1294023600,20110103,2011010322,22,1,37.5,29.3,44.4,17.8,0.0,13.0,9.9,0.0,Clear,1,20
46,1294027200,20110103,2011010323,23,1,35.6,29.5,46.79,17.2,0.0,7.4,9.9,0.0,Clear,1,12
47,1294030800,20110103,201101030,0,1,35.1,25.6,44.22,15.5,0.0,14.8,9.9,0.0,Clear,1,5
48,1294034400,20110103,201101031,1,1,33.8,23.2,44.0,14.1,0.0,16.9,9.9,0.0,Clear,1,2
49,1294045200,20110103,201101034,4,1,30.4,19.2,46.18,12.2,0.0,15.8,9.9,0.0,Clear,1,1
50,1294048800,20110103,201101035,5,1,29.9,20.3,47.6,12.4,0.0,11.7,9.9,0.0,Clear,1,3
51,1294052400,20110103,201101036,6,1,28.5,16.9,50.3,12.4,0.0,15.7,9.9,0.0,Clear,1,30
52,1294056000,20110103,201101037,7,1,28.5,20.3,49.51,12.0,0.0,8.5,9.9,0.0,Clear,1,64
53,1294059600,20110103,201101038,8,1,28.5,18.7,49.44,11.9,0.0,11.4,9.9,0.0,Clear,1,154
54,1294063200,20110103,201101039,9,1,29.9,18.6,44.15,10.7,0.0,15.9,9.9,0.0,Clear,1,88
55,1294066800,20110103,2011010310,10,1,31.8,23.3,43.16,12.0,0.0,10.4,9.9,0.0,Clear,1,44
56,1294070400,20110103,2011010311,11,1,33.7,24.2,40.1,12.0,0.0,13.8,9.9,0.0,Clear,1,51
57,1294074000,20110103,2011010312,12,1,35.5,26.9,35.48,10.8,0.0,12.7,9.9,24.4,Partially cloudy,1,61
58,1294077600,20110103,2011010313,13,1,37.3,29.7,34.83,12.0,0.0,11.5,9.9,24.4,Partially cloudy,1,61
59,1294081200,20110103,2011010314,14,1,38.8,31.7,31.17,10.8,0.0,10.9,9.9,0.0,Clear,1,77
60,1294084800,20110103,2011010315,15,1,39.3,32.6,30.54,10.8,0.0,10.2,9.9,24.4,Partially cloudy,1,72
61,1294088400,20110103,2011010316,16,1,39.2,32.6,30.05,10.3,0.0,10.2,9.9,24.4,Partially cloudy,1,76
62,1294092000,20110103,2011010317,17,1,37.5,31.2,30.2,8.9,0.0,8.6,9.9,24.4,Partially cloudy,1,157
63,1294095600,20110103,2011010318,18,1,36.5,32.8,34.01,10.7,0.0,4.4,9.9,24.4,Partially cloudy,1,157
64,1294099200,20110104,2011010419,19,1,33.2,33.2,48.61,15.9,0.0,0.3,9.9,0.0,Clear,1,112
65,1294102800,20110104,2011010420,20,1,32.7,28.3,49.58,15.9,0.0,4.5,9.9,24.4,Partially cloudy,1,54
66,1294106400,20110104,2011010421,21,1,31.3,25.8,64.16,20.6,0.0,5.5,9.9,24.4,Partially cloudy,1,48
67,1294110000,20110104,2011010422,22,1,28.1,22.0,68.21,19.0,0.0,5.5,9.9,24.4,Partially cloudy,1,35
68,1294113600,20110104,2011010423,23,1,31.1,26.5,55.8,17.1,0.0,4.5,9.9,24.4,Partially cloudy,1,11
69,1294117200,20110104,201101040,0,1,29.3,24.2,57.04,16.0,0.0,4.7,9.9,44.6,Partially cloudy,1,5
70,1294120800,20110104,201101041,1,1,29.3,24.2,60.22,17.2,0.0,4.7,9.9,79.3,Partially cloudy,1,2
71,1294124400,20110104,201101042,2,1,27.9,21.6,64.85,17.6,0.0,5.8,9.9,79.3,Partially cloudy,1,1
72,1294131600,20110104,201101044,4,1,27.9,24.3,64.9,17.6,0.0,3.2,9.9,79.3,Partially cloudy,1,2
73,1294135200,20110104,201101045,5,1,26.0,20.4,70.19,17.6,0.0,4.6,9.9,82.9,Partially cloudy,1,4
74,1294138800,20110104,201101046,6,1,26.2,20.7,75.05,19.4,0.0,4.6,9.9,79.3,Partially cloudy,1,36
75,1294142400,20110104,201101047,7,1,26.4,19.9,74.96,19.5,0.0,5.6,9.9,79.3,Partially cloudy,1,94
76,1294146000,20110104,201101048,8,1,28.2,21.1,69.82,19.6,0.0,6.7,9.9,82.5,Partially cloudy,1,179
77,1294149600,20110104,201101049,9,1,29.7,21.6,66.36,19.8,0.0,8.7,9.9,83.9,Partially cloudy,1,100
78,1294153200,20110104,2011010410,10,1,30.4,20.1,68.17,21.2,0.0,13.5,9.9,96.4,Overcast,1,42
79,1294156800,20110104,2011010411,11,1,35.0,26.4,53.56,19.8,0.0,12.4,9.9,89.7,Partially cloudy,1,57
80,1294160400,20110104,2011010412,12,1,35.8,30.2,51.76,19.8,0.0,6.8,9.9,49.2,Partially cloudy,1,78
81,1294164000,20110104,2011010413,13,1,37.8,32.0,54.19,22.7,0.0,7.9,9.9,44.6,Partially cloudy,1,97
82,1294167600,20110104,2011010414,14,1,39.7,33.8,50.13,22.7,0.0,9.0,9.9,44.6,Partially cloudy,1,63
83,1294171200,20110104,2011010415,15,1,41.3,35.1,49.81,23.9,0.0,10.2,9.9,24.4,Partially cloudy,1,65
84,1294174800,20110104,2011010416,16,1,42.5,36.7,48.35,24.4,0.0,10.1,9.9,24.4,Partially cloudy,1,83
85,1294178400,20110104,2011010417,17,1,40.8,35.2,48.09,22.7,0.0,8.9,9.9,24.4,Partially cloudy,1,212
86,1294182000,20110104,2011010418,18,1,38.8,33.2,48.41,21.0,0.0,7.9,9.9,24.4,Partially cloudy,1,182
87,1294185600,20110105,2011010519,19,1,37.4,33.5,48.45,19.7,0.0,4.9,9.9,0.0,Clear,1,132
88,1294189200,20110105,2011010520,20,1,37.2,33.3,48.96,19.7,0.0,4.8,9.9,0.0,Clear,1,89
89,1294192800,20110105,2011010521,21,1,34.9,34.9,64.16,24.0,0.0,0.4,9.9,0.0,Clear,1,43
90,1294196400,20110105,2011010522,22,1,34.6,34.6,66.05,24.4,0.0,3.0,9.9,24.4,Partially cloudy,1,42
91,1294200000,20110105,2011010523,23,1,33.0,30.2,70.26,24.4,0.0,3.2,9.9,24.4,Partially cloudy,1,19
92,1294203600,20110105,201101050,0,1,33.0,33.0,65.57,22.7,0.0,0.3,9.9,24.4,Partially cloudy,1,6
93,1294207200,20110105,201101051,1,1,30.4,27.1,72.69,22.7,0.0,3.3,9.9,44.6,Partially cloudy,1,6
94,1294210800,20110105,201101052,2,1,38.0,31.8,47.29,19.7,0.0,8.8,9.9,24.4,Partially cloudy,1,2
95,1294218000,20110105,201101054,4,1,36.9,30.1,48.45,19.3,0.0,9.4,9.9,24.4,Partially cloudy,1,2
96,1294221600,20110105,201101055,5,1,35.5,29.8,48.22,17.8,0.0,6.9,9.9,24.4,Partially cloudy,1,3
97,1294225200,20110105,201101056,6,1,33.4,26.1,48.26,15.9,0.0,8.8,9.9,0.0,Clear,1,33
98,1294228800,20110105,201101057,7,1,31.8,24.6,44.58,12.6,0.0,7.9,9.9,24.4,Partially cloudy,1,88
99,1294232400,20110105,201101058,8,1,33.1,24.1,42.1,12.6,0.0,12.3,9.9,44.6,Partially cloudy,1,195
100,1294236000,20110105,201101059,9,1,34.9,25.9,39.38,12.7,0.0,13.5,9.9,80.3,Partially cloudy,1,115
101,1294239600,20110105,2011010510,10,1,35.5,26.7,38.29,12.6,0.0,13.2,9.9,80.3,Partially cloudy,1,57
102,1294243200,20110105,2011010511,11,1,38.8,30.8,33.06,12.2,0.0,13.6,9.9,44.6,Partially cloudy,1,46
103,1294246800,20110105,2011010512,12,1,39.3,31.5,33.12,12.7,0.0,13.4,9.9,83.9,Partially cloudy,1,79
104,1294250400,20110105,2011010513,13,1,40.8,33.8,31.24,12.7,0.0,12.3,9.9,79.3,Partially cloudy,1,71
105,1294254000,20110105,2011010514,14,1,42.2,37.3,29.58,12.6,0.0,8.1,9.9,44.6,Partially cloudy,1,62
106,1294257600,20110105,2011010515,15,1,42.7,37.7,29.11,12.7,0.0,8.2,9.9,44.6,Partially cloudy,1,62
107,1294261200,20110105,2011010516,16,1,42.1,40.4,29.66,12.6,0.0,3.4,9.9,44.6,Partially cloudy,1,89
108,1294264800,20110105,2011010517,17,1,37.0,31.1,38.69,14.1,0.0,7.6,9.9,44.6,Partially cloudy,1,190
109,1294268400,20110105,2011010518,18,1,36.4,32.1,39.59,14.1,0.0,5.2,9.9,30.0,Partially cloudy,1,169
110,1294272000,20110106,2011010619,19,1,36.5,33.1,39.73,14.3,0.0,4.2,9.9,82.3,Partially cloudy,1,112
111,1294275600,20110106,2011010620,20,1,34.8,29.2,47.93,17.1,0.0,6.6,9.9,90.1,Overcast,1,69
112,1294279200,20110106,2011010621,21,1,33.7,27.2,49.96,17.0,0.0,7.5,9.9,90.1,Overcast,1,48
113,1294282800,20110106,2011010622,22,1,31.9,26.8,54.69,17.4,0.0,5.2,9.9,53.6,Partially cloudy,1,52
114,1294286400,20110106,2011010623,23,1,32.8,32.8,49.11,15.8,0.0,0.0,9.9,28.0,Partially cloudy,1,23
115,1294290000,20110106,201101060,0,1,31.4,31.4,56.1,17.5,0.0,0.0,9.9,24.4,Partially cloudy,1,11
116,1294293600,20110106,201101061,1,1,29.3,29.3,64.84,19.0,0.0,0.2,9.9,0.0,Clear,1,4
117,1294297200,20110106,201101062,2,1,28.1,28.1,67.95,18.9,0.0,3.0,9.9,89.3,Partially cloudy,1,2
118,1294304400,20110106,201101064,4,1,28.0,22.8,69.75,19.4,0.0,4.6,9.9,84.9,Partially cloudy,1,1
119,1294308000,20110106,201101065,5,1,27.9,24.2,68.96,19.1,0.0,3.3,9.9,98.2,Overcast,1,4
120,1294311600,20110106,201101066,6,1,27.8,22.7,65.44,17.7,0.0,4.5,9.9,99.2,Overcast,1,36
121,1294315200,20110106,201101067,7,1,29.6,29.6,61.02,17.8,0.0,0.2,9.9,92.3,Overcast,1,95
122,1294318800,20110106,201101068,8,1,29.6,29.6,59.75,17.3,0.0,0.0,9.9,79.3,Partially cloudy,1,219
123,1294322400,20110106,201101069,9,1,31.7,31.7,52.61,16.3,0.0,0.0,9.9,89.1,Partially cloudy,1,122
124,1294326000,20110106,2011010610,10,1,33.7,33.7,46.75,15.5,0.0,0.2,9.9,79.3,Partially cloudy,1,45
125,1294329600,20110106,2011010611,11,1,35.4,35.4,43.65,15.4,0.0,3.0,9.9,44.6,Partially cloudy,1,59
126,1294333200,20110106,2011010612,12,1,38.8,36.1,36.09,14.1,0.0,3.7,9.9,44.6,Partially cloudy,1,84
127,1294336800,20110106,2011010613,13,1,38.9,35.4,35.82,14.1,0.0,4.8,9.9,44.6,Partially cloudy,1,67
128,1294340400,20110106,2011010614,14,1,40.7,36.0,35.47,15.4,0.0,6.9,9.9,0.0,Clear,1,70
129,1294344000,20110106,2011010615,15,1,40.8,36.3,35.34,15.4,0.0,6.6,9.9,24.4,Partially cloudy,1,62
130,1294347600,20110106,2011010616,16,1,38.9,33.9,38.01,15.4,0.0,6.8,9.9,24.4,Partially cloudy,1,86
131,1294351200,20110106,2011010617,17,1,35.6,30.1,51.13,19.3,0.0,6.6,9.9,24.4,Partially cloudy,1,172
132,1294354800,20110106,2011010618,18,1,34.7,29.9,52.26,18.9,0.0,5.4,9.9,24.4,Partially cloudy,1,163
133,1294358400,20110107,2011010719,19,1,34.3,31.5,56.81,20.6,0.0,3.3,9.9,79.3,Partially cloudy,1,95
134,1294362000,20110107,2011010720,20,1,33.2,27.2,52.55,17.7,0.0,6.6,9.9,89.3,Partially cloudy,1,51
135,1294365600,20110107,2011010721,21,1,34.5,27.5,56.79,20.7,0.0,8.7,9.9,99.2,Overcast,1,39
136,1294369200,20110107,2011010722,22,1,34.8,26.8,53.56,19.7,0.0,11.0,9.9,100.0,Overcast,1,36
137,1294372800,20110107,2011010723,23,1,33.6,27.0,59.16,20.9,0.0,7.6,9.9,96.4,Overcast,1,15
138,1294376400,20110107,201101070,0,1,33.6,26.4,60.26,21.3,0.0,8.8,9.9,96.4,Overcast,1,17
139,1294380000,20110107,201101071,1,1,33.5,26.3,67.95,24.1,0.0,8.7,9.9,96.0,Overcast,1,7
140,1294383600,20110107,201101072,2,1,33.5,27.0,64.52,22.8,0.0,7.5,9.9,99.2,Overcast,1,1
141,1294390800,20110107,201101074,4,1,33.1,27.9,69.53,24.3,0.0,5.6,9.9,100.0,Overcast,1,1
142,1294394400,20110107,201101075,5,1,33.6,29.2,65.06,23.1,0.0,4.7,9.9,99.2,Overcast,1,5
143,1294398000,20110107,201101076,6,1,33.7,33.7,69.89,24.9,0.0,0.5,9.9,99.6,Overcast,1,34
144,1294401600,20110107,201101077,7,1,33.5,28.3,69.06,24.4,0.0,5.6,9.9,51.0,Partially cloudy,1,84
145,1294405200,20110107,201101078,8,1,33.7,25.6,52.0,17.9,0.0,10.3,9.9,83.9,Partially cloudy,1,210
146,1294408800,20110107,201101079,9,1,33.7,24.5,47.74,15.9,0.0,13.0,9.9,81.3,Partially cloudy,1,134
147,1294412400,20110107,2011010710,10,1,35.1,25.9,38.97,12.6,0.0,14.0,9.9,40.4,Partially cloudy,1,63
148,1294416000,20110107,2011010711,11,1,33.7,26.2,40.85,12.4,0.0,9.3,9.9,95.6,Overcast,1,67
149,1294419600,20110107,2011010712,12,1,33.7,25.7,37.29,10.4,0.0,10.3,9.9,93.8,Overcast,1,59
150,1294423200,20110107,2011010713,13,1,33.8,25.3,37.23,10.3,0.0,11.2,9.9,92.9,Overcast,1,73
151,1294426800,20110107,2011010714,14,1,33.7,25.9,40.01,12.0,0.0,9.9,9.9,92.8,Overcast,1,50
152,1294430400,20110107,2011010715,15,1,33.4,27.4,38.49,10.7,0.0,6.6,9.9,98.8,Overcast,1,72
153,1294434000,20110107,2011010716,16,1,33.7,27.8,37.97,10.7,0.0,6.6,9.9,95.6,Overcast,1,87
154,1294437600,20110107,2011010717,17,1,33.2,33.2,38.75,10.7,0.0,0.2,9.9,89.1,Partially cloudy,1,187
155,1294441200,20110107,2011010718,18,1,32.9,30.2,42.36,12.5,0.0,3.1,9.9,79.3,Partially cloudy,1,123
156,1294444800,20110108,2011010819,19,1,30.0,26.6,53.61,15.2,0.0,3.3,9.9,82.9,Partially cloudy,1,30
157,1294448400,20110108,2011010820,20,1,31.5,27.3,47.95,14.0,0.0,4.2,9.9,90.1,Overcast,1,28
158,1294452000,20110108,2011010821,21,1,31.6,26.4,47.66,13.9,0.0,5.2,9.9,90.1,Overcast,1,37
159,1294455600,20110108,2011010822,22,1,31.5,25.3,45.38,12.8,0.0,6.4,9.9,100.0,Overcast,1,34
160,1294459200,20110108,2011010823,23,1,31.7,26.1,47.79,14.1,0.0,5.8,9.9,100.0,Overcast,1,22
161,1294462800,20110108,201101080,0,1,31.7,25.4,52.04,16.1,0.0,6.6,9.9,100.0,Overcast,1,25
162,1294466400,20110108,201101081,1,1,31.8,26.6,54.59,17.3,0.0,5.3,8.8,100.0,Overcast,1,16
163,1294470000,20110108,201101082,2,1,31.7,31.7,54.83,17.3,0.0,0.5,9.9,100.0,Overcast,1,16
164,1294473600,20110108,201101083,3,1,31.8,25.5,55.67,17.7,0.0,6.6,8.8,100.0,Overcast,1,7
165,1294477200,20110108,201101084,4,1,31.7,25.5,61.27,19.9,0.0,6.4,8.8,100.0,Overcast,1,1
166,1294480800,20110108,201101085,5,1,30.3,23.9,74.48,23.1,0.0,6.3,9.9,100.0,Overcast,1,5
167,1294484400,20110108,201101086,6,1,30.2,23.9,78.98,24.5,0.0,6.3,6.6,100.0,Overcast,1,2
168,1294488000,20110108,201101087,7,1,29.8,25.2,76.12,23.2,0.0,4.3,9.9,99.8,Overcast,1,9
169,1294491600,20110108,201101088,8,1,30.1,26.6,74.77,23.1,0.0,3.5,6.3,99.2,Overcast,1,15
170,1294495200,20110108,201101089,9,1,30.0,23.7,87.4,26.7,0.01,6.1,3.0,100.0,"Snow, Overcast",1,20
171,1294498800,20110108,2011010810,10,1,31.7,31.7,81.86,26.8,0.0,0.2,8.0,98.6,Overcast,1,61
172,1294502400,20110108,2011010811,11,1,33.2,24.2,70.75,24.7,0.0,12.2,9.9,97.3,Overcast,1,62
173,1294506000,20110108,2011010812,12,1,33.2,23.1,60.8,21.1,0.0,15.0,9.9,97.4,Overcast,1,98
174,1294509600,20110108,2011010813,13,1,33.6,24.1,44.81,14.4,0.0,13.8,9.9,83.9,Partially cloudy,1,102
175,1294513200,20110108,2011010814,14,1,33.7,22.0,32.93,7.5,0.0,20.6,9.9,45.6,Partially cloudy,1,95
176,1294516800,20110108,2011010815,15,1,33.5,22.5,31.74,6.6,0.0,18.3,9.9,81.3,Partially cloudy,1,74
177,1294520400,20110108,2011010816,16,1,31.7,20.0,30.0,3.8,0.0,18.6,9.9,80.3,Partially cloudy,1,76
178,1294524000,20110108,2011010817,17,1,29.8,16.4,37.22,6.8,0.0,22.8,9.9,79.3,Partially cloudy,1,69
179,1294527600,20110108,2011010818,18,1,28.4,17.9,38.7,6.4,0.0,13.0,9.9,28.0,Partially cloudy,1,55
180,1294531200,20110109,2011010919,19,1,28.0,18.3,36.97,5.0,0.0,11.0,9.9,24.4,Partially cloudy,1,41
181,1294534800,20110109,2011010920,20,1,26.5,16.4,37.03,3.7,0.0,10.9,9.9,24.4,Partially cloudy,1,38
182,1294538400,20110109,2011010921,21,1,26.1,13.9,39.96,5.0,0.0,15.2,9.9,24.4,Partially cloudy,1,20
183,1294542000,20110109,2011010922,22,1,26.0,13.4,37.66,3.6,0.0,16.3,9.9,24.4,Partially cloudy,1,15
184,1294545600,20110109,2011010923,23,1,24.7,11.0,39.66,3.6,0.0,18.2,9.9,24.4,Partially cloudy,1,6
185,1294549200,20110109,201101090,0,1,24.3,11.1,43.15,5.0,0.0,16.4,9.9,0.0,Clear,1,25
186,1294552800,20110109,201101091,1,1,24.2,10.0,43.46,5.1,0.0,19.1,9.9,0.0,Clear,1,12
187,1294556400,20110109,201101092,2,1,24.2,10.0,46.21,6.4,0.0,19.1,9.9,0.0,Clear,1,11
188,1294560000,20110109,201101093,3,1,24.2,10.7,47.3,7.0,0.0,17.2,9.9,0.0,Clear,1,4
189,1294563600,20110109,201101094,4,1,22.9,13.4,52.9,8.2,0.0,8.5,9.9,0.0,Clear,1,1
190,1294567200,20110109,201101095,5,1,22.9,12.0,52.97,8.3,0.0,10.7,9.9,0.0,Clear,1,1
191,1294570800,20110109,201101096,6,1,24.1,13.2,50.22,8.2,0.0,11.5,9.9,0.0,Clear,1,1
192,1294574400,20110109,201101097,7,1,22.8,13.5,53.09,8.3,0.0,8.2,9.9,0.0,Clear,1,6
193,1294578000,20110109,201101098,8,1,24.2,13.0,50.07,8.2,0.0,11.9,9.9,0.0,Clear,1,10
194,1294581600,20110109,201101099,9,1,26.0,11.7,46.46,8.2,0.0,21.5,9.9,0.0,Clear,1,19
195,1294585200,20110109,2011010910,10,1,28.1,16.0,43.57,8.7,0.0,16.6,9.9,24.4,Partially cloudy,1,49
196,1294588800,20110109,2011010911,11,1,29.8,16.6,40.59,8.8,0.0,21.8,9.9,44.6,Partially cloudy,1,49
197,1294592400,20110109,2011010912,12,1,31.8,20.2,37.52,8.8,0.0,18.3,9.9,44.6,Partially cloudy,1,83
198,1294596000,20110109,2011010913,13,1,33.2,21.9,35.48,8.8,0.0,18.7,9.9,44.6,Partially cloudy,1,75
199,1294599600,20110109,2011010914,14,1,35.0,24.1,33.09,8.8,0.0,19.3,9.9,44.6,Partially cloudy,1,72
200,1294603200,20110109,2011010915,15,1,35.0,25.1,35.16,10.2,0.0,15.8,9.9,24.4,Partially cloudy,1,82
201,1294606800,20110109,2011010916,16,1,33.7,22.7,34.77,8.8,0.0,18.3,9.9,24.4,Partially cloudy,1,92
202,1294610400,20110109,2011010917,17,1,31.8,21.0,36.94,8.4,0.0,16.0,9.9,44.6,Partially cloudy,1,62
203,1294614000,20110109,2011010918,18,1,30.3,19.9,39.94,8.8,0.0,13.6,9.9,44.6,Partially cloudy,1,48
204,1294617600,20110110,2011011019,19,1,30.2,19.6,42.64,10.2,0.0,14.3,9.9,24.4,Partially cloudy,1,95
205,1294621200,20110110,2011011020,20,1,28.5,19.1,45.7,10.2,0.0,10.6,9.9,0.0,Clear,1,74
206,1294624800,20110110,2011011021,21,1,28.4,16.3,45.84,10.2,0.0,16.9,9.9,0.0,Clear,1,38
207,1294628400,20110110,2011011022,22,1,28.0,17.4,46.63,10.2,0.0,12.7,9.9,0.0,Clear,1,24
208,1294632000,20110110,2011011023,23,1,26.5,18.1,49.59,10.2,0.0,8.1,9.9,0.0,Clear,1,18
209,1294635600,20110110,201101100,0,1,26.1,15.7,50.49,10.2,0.0,11.3,9.9,0.0,Clear,1,5
210,1294639200,20110110,201101101,1,1,26.1,15.7,50.56,10.2,0.0,11.3,9.9,0.0,Clear,1,1
211,1294642800,20110110,201101102,2,1,25.9,16.8,51.04,10.3,0.0,9.0,9.9,0.0,Clear,1,3
212,1294646400,20110110,201101103,3,1,25.9,16.7,50.93,10.2,0.0,9.1,9.9,0.0,Clear,1,1
213,1294650000,20110110,201101104,4,1,24.7,17.7,53.54,10.2,0.0,5.9,9.9,0.0,Clear,1,3
214,1294653600,20110110,201101105,5,1,24.7,14.7,53.67,10.2,0.0,10.0,9.9,0.0,Clear,1,3
215,1294657200,20110110,201101106,6,1,26.0,15.6,51.09,10.3,0.0,11.2,9.9,79.3,Partially cloudy,1,31
216,1294660800,20110110,201101107,7,1,26.1,16.8,51.73,10.7,0.0,9.3,9.9,79.3,Partially cloudy,1,77
217,1294664400,20110110,201101108,8,1,26.1,15.7,51.71,10.7,0.0,11.3,9.9,89.1,Partially cloudy,1,188
218,1294668000,20110110,201101109,9,1,28.0,18.6,50.53,12.0,0.0,10.4,9.9,94.6,Overcast,1,94
219,1294671600,20110110,2011011010,10,1,28.5,18.1,49.54,12.0,0.0,12.6,9.9,96.0,Overcast,1,31
220,1294675200,20110110,2011011011,11,1,29.9,20.4,46.88,12.0,0.0,11.3,9.9,92.9,Overcast,1,30
221,1294678800,20110110,2011011012,12,1,33.2,24.5,41.18,12.1,0.0,11.5,9.9,96.0,Overcast,1,52
222,1294682400,20110110,2011011013,13,1,33.7,25.1,40.76,12.4,0.0,11.6,9.9,96.6,Overcast,1,54
