,datetimeepoch,temp,feelslike,humidity,dew,precip,windspeed,visibilty,cloudcover,conditions,date,hr,datetime,instant,dteday,season,yr,mnth,hr-2,holiday,weekday,workingday,weathersit,temp-2,atemp,hum,windspeed-2,casual,registered,cnt,datetime-2
21,1293933600,52.2,52.2,93.34,50.3,0.0,11.4,8.8,99.2,Overcast,20110102,21,2011010221,45,20110102,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,2011010221
22,1293937200,52.4,52.4,93.56,50.6,0.0,9.3,6.6,99.2,Overcast,20110102,22,2011010222,46,20110102,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,2011010222
23,1293940800,54.1,54.1,93.82,52.3,0.0,8.5,7.2,100.0,Overcast,20110102,23,2011010223,47,20110102,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,2011010223
24,1293944400,57.5,57.5,87.85,53.9,0.0,12.6,9.9,100.0,Overcast,20110102,0,201101020,25,20110102,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,201101020
25,1293948000,55.8,55.8,92.26,53.6,0.0,10.3,8.3,100.0,Overcast,20110102,1,201101021,26,20110102,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,201101021
26,1293951600,54.1,54.1,98.36,53.6,0.0,11.3,4.3,100.0,Overcast,20110102,2,201101022,27,20110102,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,201101022
27,1293955200,56.2,56.2,94.09,54.5,0.0,8.9,7.6,100.0,Overcast,20110102,3,201101023,28,20110102,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,2,4,6,201101023
28,1293958800,57.4,57.4,94.1,55.8,0.0,9.8,8.8,100.0,Overcast,20110102,4,201101024,29,20110102,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,2,1,3,201101024
29,1293966000,51.7,51.7,77.14,44.8,0.0,8.4,9.9,100.0,Overcast,20110102,6,201101026,30,20110102,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,201101026
30,1293969600,51.7,51.7,70.96,42.6,0.0,10.1,9.9,100.0,Overcast,20110102,7,201101027,31,20110102,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.19399999999999998,0,1,1,201101027
31,1293973200,51.3,51.3,71.89,42.6,0.0,8.8,9.9,100.0,Overcast,20110102,8,201101028,32,20110102,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,201101028
32,1293976800,49.9,45.9,76.1,42.6,0.0,10.0,9.9,100.0,Overcast,20110102,9,201101029,33,20110102,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,201101029
33,1293980400,48.5,44.4,80.17,42.7,0.01,9.3,9.9,100.0,"Rain, Overcast",20110102,10,2011010210,34,20110102,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,2011010210
34,1293984000,48.5,44.1,71.83,39.8,0.0,10.0,9.9,100.0,Overcast,20110102,11,2011010211,35,20110102,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,2011010211
35,1293987600,48.0,42.8,68.23,38.0,0.0,12.4,9.9,100.0,Overcast,20110102,12,2011010212,36,20110102,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,2011010212
36,1293991200,48.3,45.8,66.13,37.5,0.0,5.7,9.9,100.0,Overcast,20110102,13,2011010213,37,20110102,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,2011010213
37,1293994800,47.8,44.3,77.36,41.1,0.02,7.6,8.6,100.0,"Rain, Overcast",20110102,14,2011010214,38,20110102,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.19399999999999998,4,55,59,2011010214
38,1293998400,46.5,43.0,81.39,41.1,0.02,6.8,8.5,100.0,"Rain, Overcast",20110102,15,2011010215,39,20110102,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,2011010215
39,1294002000,46.0,42.7,73.24,37.9,0.02,6.4,9.9,89.7,"Rain, Partially cloudy",20110102,16,2011010216,40,20110102,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,2011010216
40,1294005600,46.3,42.4,59.23,32.8,0.0,7.6,9.9,89.7,Partially cloudy,20110102,17,2011010217,41,20110102,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.19399999999999998,7,58,65,2011010217
41,1294009200,47.7,41.9,47.43,28.6,0.0,14.0,9.9,100.0,Overcast,20110102,18,2011010218,42,20110102,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,2011010218
42,1294012800,44.1,36.3,43.26,23.2,0.0,18.3,9.9,87.5,Partially cloudy,20110103,19,2011010319,65,20110103,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,2011010319
43,1294016400,42.1,34.6,40.68,19.9,0.0,15.0,9.9,24.4,Partially cloudy,20110103,20,2011010320,66,20110103,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,2011010320
44,1294020000,39.2,31.3,44.39,19.3,0.0,13.7,9.9,0.0,Clear,20110103,21,2011010321,67,20110103,1,0,1,21,0,1,1,1,0.18,0.19699999999999998,0.64,0.1343,3,49,52,2011010321
45,1294023600,37.5,29.3,44.4,17.8,0.0,13.0,9.9,0.0,Clear,20110103,22,2011010322,68,20110103,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,2011010322
46,1294027200,35.6,29.5,46.79,17.2,0.0,7.4,9.9,0.0,Clear,20110103,23,2011010323,69,20110103,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,2011010323
47,1294030800,35.1,25.6,44.22,15.5,0.0,14.8,9.9,0.0,Clear,20110103,0,201101030,48,20110103,1,0,1,0,0,1,1,1,0.22,0.19699999999999998,0.44,0.3582,0,5,5,201101030
48,1294034400,33.8,23.2,44.0,14.1,0.0,16.9,9.9,0.0,Clear,20110103,1,201101031,49,20110103,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,201101031
49,1294045200,30.4,19.2,46.18,12.2,0.0,15.8,9.9,0.0,Clear,20110103,4,201101034,50,20110103,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,201101034
50,1294048800,29.9,20.3,47.6,12.4,0.0,11.7,9.9,0.0,Clear,20110103,5,201101035,51,20110103,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,201101035
51,1294052400,28.5,16.9,50.3,12.4,0.0,15.7,9.9,0.0,Clear,20110103,6,201101036,52,20110103,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,201101036
52,1294056000,28.5,20.3,49.51,12.0,0.0,8.5,9.9,0.0,Clear,20110103,7,201101037,53,20110103,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.19399999999999998,1,63,64,201101037
53,1294059600,28.5,18.7,49.44,11.9,0.0,11.4,9.9,0.0,Clear,20110103,8,201101038,54,20110103,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,201101038
54,1294063200,29.9,18.6,44.15,10.7,0.0,15.9,9.9,0.0,Clear,20110103,9,201101039,55,20110103,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,201101039
55,1294066800,31.8,23.3,43.16,12.0,0.0,10.4,9.9,0.0,Clear,20110103,10,2011010310,56,20110103,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,2011010310
56,1294070400,33.7,24.2,40.1,12.0,0.0,13.8,9.9,0.0,Clear,20110103,11,2011010311,57,20110103,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,2011010311
57,1294074000,35.5,26.9,35.48,10.8,0.0,12.7,9.9,24.4,Partially cloudy,20110103,12,2011010312,58,20110103,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,2011010312
58,1294077600,37.3,29.7,34.83,12.0,0.0,11.5,9.9,24.4,Partially cloudy,20110103,13,2011010313,59,20110103,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,2011010313
59,1294081200,38.8,31.7,31.17,10.8,0.0,10.9,9.9,0.0,Clear,20110103,14,2011010314,60,20110103,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,2011010314
60,1294084800,39.3,32.6,30.54,10.8,0.0,10.2,9.9,24.4,Partially cloudy,20110103,15,2011010315,61,20110103,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,2011010315
61,1294088400,39.2,32.6,30.05,10.3,0.0,10.2,9.9,24.4,Partially cloudy,20110103,16,2011010316,62,20110103,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,2011010316
62,1294092000,37.5,31.2,30.2,8.9,0.0,8.6,9.9,24.4,Partially cloudy,20110103,17,2011010317,63,20110103,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,2011010317
63,1294095600,36.5,32.8,34.01,10.7,0.0,4.4,9.9,24.4,Partially cloudy,20110103,18,2011010318,64,20110103,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,2011010318
64,1294099200,33.2,33.2,48.61,15.9,0.0,0.3,9.9,0.0,Clear,20110104,19,2011010419,88,20110104,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,2011010419
65,1294102800,32.7,28.3,49.58,15.9,0.0,4.5,9.9,24.4,Partially cloudy,20110104,20,2011010420,89,20110104,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,2011010420
66,1294106400,31.3,25.8,64.16,20.6,0.0,5.5,9.9,24.4,Partially cloudy,20110104,21,2011010421,90,20110104,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,2011010421
67,1294110000,28.1,22.0,68.21,19.0,0.0,5.5,9.9,24.4,Partially cloudy,20110104,22,2011010422,91,20110104,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,2011010422
68,1294113600,31.1,26.5,55.8,17.1,0.0,4.5,9.9,24.4,Partially cloudy,20110104,23,2011010423,92,20110104,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,2011010423
69,1294117200,29.3,24.2,57.04,16.0,0.0,4.7,9.9,44.6,Partially cloudy,20110104,0,201101040,70,20110104,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,201101040
70,1294120800,29.3,24.2,60.22,17.2,0.0,4.7,9.9,79.3,Partially cloudy,20110104,1,201101041,71,20110104,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,201101041
71,1294124400,27.9,21.6,64.85,17.6,0.0,5.8,9.9,79.3,Partially cloudy,20110104,2,201101042,72,20110104,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,201101042
72,1294131600,27.9,24.3,64.9,17.6,0.0,3.2,9.9,79.3,Partially cloudy,20110104,4,201101044,73,20110104,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,201101044
73,1294135200,26.0,20.4,70.19,17.6,0.0,4.6,9.9,82.9,Partially cloudy,20110104,5,201101045,74,20110104,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,201101045
74,1294138800,26.2,20.7,75.05,19.4,0.0,4.6,9.9,79.3,Partially cloudy,20110104,6,201101046,75,20110104,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,201101046
75,1294142400,26.4,19.9,74.96,19.5,0.0,5.6,9.9,79.3,Partially cloudy,20110104,7,201101047,76,20110104,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,201101047
76,1294146000,28.2,21.1,69.82,19.6,0.0,6.7,9.9,82.5,Partially cloudy,20110104,8,201101048,77,20110104,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,201101048
77,1294149600,29.7,21.6,66.36,19.8,0.0,8.7,9.9,83.9,Partially cloudy,20110104,9,201101049,78,20110104,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,201101049
78,1294153200,30.4,20.1,68.17,21.2,0.0,13.5,9.9,96.4,Overcast,20110104,10,2011010410,79,20110104,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,2011010410
79,1294156800,35.0,26.4,53.56,19.8,0.0,12.4,9.9,89.7,Partially cloudy,20110104,11,2011010411,80,20110104,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,2011010411
80,1294160400,35.8,30.2,51.76,19.8,0.0,6.8,9.9,49.2,Partially cloudy,20110104,12,2011010412,81,20110104,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,2011010412
81,1294164000,37.8,32.0,54.19,22.7,0.0,7.9,9.9,44.6,Partially cloudy,20110104,13,2011010413,82,20110104,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.19399999999999998,18,79,97,2011010413
82,1294167600,39.7,33.8,50.13,22.7,0.0,9.0,9.9,44.6,Partially cloudy,20110104,14,2011010414,83,20110104,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,2011010414
83,1294171200,41.3,35.1,49.81,23.9,0.0,10.2,9.9,24.4,Partially cloudy,20110104,15,2011010415,84,20110104,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,2011010415
84,1294174800,42.5,36.7,48.35,24.4,0.0,10.1,9.9,24.4,Partially cloudy,20110104,16,2011010416,85,20110104,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,2011010416
85,1294178400,40.8,35.2,48.09,22.7,0.0,8.9,9.9,24.4,Partially cloudy,20110104,17,2011010417,86,20110104,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,2011010417
86,1294182000,38.8,33.2,48.41,21.0,0.0,7.9,9.9,24.4,Partially cloudy,20110104,18,2011010418,87,20110104,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.19399999999999998,3,179,182,2011010418
87,1294185600,37.4,33.5,48.45,19.7,0.0,4.9,9.9,0.0,Clear,20110105,19,2011010519,111,20110105,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,2011010519
88,1294189200,37.2,33.3,48.96,19.7,0.0,4.8,9.9,0.0,Clear,20110105,20,2011010520,112,20110105,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,2011010520
89,1294192800,34.9,34.9,64.16,24.0,0.0,0.4,9.9,0.0,Clear,20110105,21,2011010521,113,20110105,1,0,1,21,0,3,1,1,0.2,0.19699999999999998,0.51,0.19399999999999998,3,40,43,2011010521
90,1294196400,34.6,34.6,66.05,24.4,0.0,3.0,9.9,24.4,Partially cloudy,20110105,22,2011010522,114,20110105,1,0,1,22,0,3,1,1,0.18,0.19699999999999998,0.55,0.1343,1,41,42,2011010522
91,1294200000,33.0,30.2,70.26,24.4,0.0,3.2,9.9,24.4,Partially cloudy,20110105,23,2011010523,115,20110105,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,2011010523
92,1294203600,33.0,33.0,65.57,22.7,0.0,0.3,9.9,24.4,Partially cloudy,20110105,0,201101050,93,20110105,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,201101050
93,1294207200,30.4,27.1,72.69,22.7,0.0,3.3,9.9,44.6,Partially cloudy,20110105,1,201101051,94,20110105,1,0,1,1,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,0,6,6,201101051
94,1294210800,38.0,31.8,47.29,19.7,0.0,8.8,9.9,24.4,Partially cloudy,20110105,2,201101052,95,20110105,1,0,1,2,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,0,2,2,201101052
95,1294218000,36.9,30.1,48.45,19.3,0.0,9.4,9.9,24.4,Partially cloudy,20110105,4,201101054,96,20110105,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,201101054
96,1294221600,35.5,29.8,48.22,17.8,0.0,6.9,9.9,24.4,Partially cloudy,20110105,5,201101055,97,20110105,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,201101055
97,1294225200,33.4,26.1,48.26,15.9,0.0,8.8,9.9,0.0,Clear,20110105,6,201101056,98,20110105,1,0,1,6,0,3,1,1,0.2,0.19699999999999998,0.47,0.2239,0,33,33,201101056
98,1294228800,31.8,24.6,44.58,12.6,0.0,7.9,9.9,24.4,Partially cloudy,20110105,7,201101057,99,20110105,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.19399999999999998,1,87,88,201101057
99,1294232400,33.1,24.1,42.1,12.6,0.0,12.3,9.9,44.6,Partially cloudy,20110105,8,201101058,100,20110105,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,201101058
100,1294236000,34.9,25.9,39.38,12.7,0.0,13.5,9.9,80.3,Partially cloudy,20110105,9,201101059,101,20110105,1,0,1,9,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,6,109,115,201101059
101,1294239600,35.5,26.7,38.29,12.6,0.0,13.2,9.9,80.3,Partially cloudy,20110105,10,2011010510,102,20110105,1,0,1,10,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,4,53,57,2011010510
102,1294243200,38.8,30.8,33.06,12.2,0.0,13.6,9.9,44.6,Partially cloudy,20110105,11,2011010511,103,20110105,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,2011010511
103,1294246800,39.3,31.5,33.12,12.7,0.0,13.4,9.9,83.9,Partially cloudy,20110105,12,2011010512,104,20110105,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,2011010512
104,1294250400,40.8,33.8,31.24,12.7,0.0,12.3,9.9,79.3,Partially cloudy,20110105,13,2011010513,105,20110105,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,2011010513
105,1294254000,42.2,37.3,29.58,12.6,0.0,8.1,9.9,44.6,Partially cloudy,20110105,14,2011010514,106,20110105,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,10,52,62,2011010514
106,1294257600,42.7,37.7,29.11,12.7,0.0,8.2,9.9,44.6,Partially cloudy,20110105,15,2011010515,107,20110105,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,7,55,62,2011010515
107,1294261200,42.1,40.4,29.66,12.6,0.0,3.4,9.9,44.6,Partially cloudy,20110105,16,2011010516,108,20110105,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,2011010516
108,1294264800,37.0,31.1,38.69,14.1,0.0,7.6,9.9,44.6,Partially cloudy,20110105,17,2011010517,109,20110105,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.19399999999999998,4,186,190,2011010517
109,1294268400,36.4,32.1,39.59,14.1,0.0,5.2,9.9,30.0,Partially cloudy,20110105,18,2011010518,110,20110105,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,2011010518
110,1294272000,36.5,33.1,39.73,14.3,0.0,4.2,9.9,82.3,Partially cloudy,20110106,19,2011010619,134,20110106,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,2011010619
111,1294275600,34.8,29.2,47.93,17.1,0.0,6.6,9.9,90.1,Overcast,20110106,20,2011010620,135,20110106,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,2011010620
112,1294279200,33.7,27.2,49.96,17.0,0.0,7.5,9.9,90.1,Overcast,20110106,21,2011010621,136,20110106,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,2011010621
113,1294282800,31.9,26.8,54.69,17.4,0.0,5.2,9.9,53.6,Partially cloudy,20110106,22,2011010622,137,20110106,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,2011010622
114,1294286400,32.8,32.8,49.11,15.8,0.0,0.0,9.9,28.0,Partially cloudy,20110106,23,2011010623,138,20110106,1,0,1,23,0,4,1,2,0.2,0.19699999999999998,0.59,0.19399999999999998,4,19,23,2011010623
115,1294290000,31.4,31.4,56.1,17.5,0.0,0.0,9.9,24.4,Partially cloudy,20110106,0,201101060,116,20110106,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,201101060
116,1294293600,29.3,29.3,64.84,19.0,0.0,0.2,9.9,0.0,Clear,20110106,1,201101061,117,20110106,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,201101061
117,1294297200,28.1,28.1,67.95,18.9,0.0,3.0,9.9,89.3,Partially cloudy,20110106,2,201101062,118,20110106,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,201101062
118,1294304400,28.0,22.8,69.75,19.4,0.0,4.6,9.9,84.9,Partially cloudy,20110106,4,201101064,119,20110106,1,0,1,4,0,4,1,2,0.16,0.19699999999999998,0.64,0.0896,0,1,1,201101064
119,1294308000,27.9,24.2,68.96,19.1,0.0,3.3,9.9,98.2,Overcast,20110106,5,201101065,120,20110106,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,201101065
120,1294311600,27.8,22.7,65.44,17.7,0.0,4.5,9.9,99.2,Overcast,20110106,6,201101066,121,20110106,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,201101066
121,1294315200,29.6,29.6,61.02,17.8,0.0,0.2,9.9,92.3,Overcast,20110106,7,201101067,122,20110106,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,201101067
122,1294318800,29.6,29.6,59.75,17.3,0.0,0.0,9.9,79.3,Partially cloudy,20110106,8,201101068,123,20110106,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,201101068
123,1294322400,31.7,31.7,52.61,16.3,0.0,0.0,9.9,89.1,Partially cloudy,20110106,9,201101069,124,20110106,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,201101069
124,1294326000,33.7,33.7,46.75,15.5,0.0,0.2,9.9,79.3,Partially cloudy,20110106,10,2011010610,125,20110106,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,2011010610
125,1294329600,35.4,35.4,43.65,15.4,0.0,3.0,9.9,44.6,Partially cloudy,20110106,11,2011010611,126,20110106,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,2011010611
126,1294333200,38.8,36.1,36.09,14.1,0.0,3.7,9.9,44.6,Partially cloudy,20110106,12,2011010612,127,20110106,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,2011010612
