instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
59,2/28/2011,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446
60,3/1/2011,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851
61,3/2/2011,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134
62,3/3/2011,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685
63,3/4/2011,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944
64,3/5/2011,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077
65,3/6/2011,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605
66,3/7/2011,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872
67,3/8/2011,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133
68,3/9/2011,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891
69,3/10/2011,1,0,3,0,4,1,3,0.389091,0.385668,0,0.261877,46,577,623
70,3/11/2011,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977
71,3/12/2011,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132
72,3/13/2011,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417
73,3/14/2011,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046
74,3/15/2011,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056
75,3/16/2011,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192
76,3/17/2011,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744
77,3/18/2011,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239
78,3/19/2011,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117
79,3/20/2011,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471
80,3/21/2011,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077
81,3/22/2011,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703
82,3/23/2011,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121
83,3/24/2011,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865
84,3/25/2011,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210
85,3/26/2011,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496
86,3/27/2011,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693
87,3/28/2011,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028
88,3/29/2011,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425
89,3/30/2011,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536
90,3/31/2011,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685
91,4/1/2011,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227
92,4/2/2011,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252
93,4/3/2011,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249
94,4/4/2011,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115
95,4/5/2011,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795
96,4/6/2011,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808
97,4/7/2011,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141
98,4/8/2011,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471
99,4/9/2011,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455
100,4/10/2011,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895
101,4/11/2011,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348
102,4/12/2011,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034
103,4/13/2011,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162
104,4/14/2011,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267
105,4/15/2011,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126
106,4/16/2011,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795
107,4/17/2011,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744
108,4/18/2011,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429
109,4/19/2011,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204
110,4/20/2011,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944
111,4/21/2011,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189
112,4/22/2011,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683
113,4/23/2011,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036
114,4/24/2011,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191
115,4/25/2011,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073
116,4/26/2011,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400
117,4/27/2011,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872
118,4/28/2011,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058
119,4/29/2011,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595
120,4/30/2011,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312
121,5/1/2011,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351
122,5/2/2011,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401
123,5/3/2011,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451
124,5/4/2011,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633
125,5/5/2011,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433
126,5/6/2011,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608
127,5/7/2011,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714
128,5/8/2011,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333
129,5/9/2011,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362
130,5/10/2011,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803
131,5/11/2011,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182
132,5/12/2011,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864
133,5/13/2011,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105
134,5/14/2011,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409
135,5/15/2011,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553
136,5/16/2011,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958
137,5/17/2011,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123
138,5/18/2011,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855
139,5/19/2011,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575
140,5/20/2011,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917
141,5/21/2011,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805
142,5/22/2011,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660
143,5/23/2011,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274
144,5/24/2011,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492
145,5/25/2011,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978
146,5/26/2011,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677
147,5/27/2011,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679
148,5/28/2011,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758
149,5/29/2011,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788
150,5/30/2011,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098
151,5/31/2011,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982
152,6/1/2011,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974
153,6/2/2011,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968
154,6/3/2011,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312
155,6/4/2011,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342
156,6/5/2011,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906
157,6/6/2011,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548
158,6/7/2011,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833
159,6/8/2011,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401
160,6/9/2011,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915
161,6/10/2011,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586
162,6/11/2011,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966
163,6/12/2011,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460
164,6/13/2011,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020
165,6/14/2011,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891
166,6/15/2011,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180
167,6/16/2011,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767
168,6/17/2011,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844
169,6/18/2011,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119
170,6/19/2011,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744
171,6/20/2011,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010
172,6/21/2011,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835
173,6/22/2011,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507
174,6/23/2011,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790
175,6/24/2011,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991
176,6/25/2011,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202
177,6/26/2011,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305
178,6/27/2011,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708
179,6/28/2011,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648
180,6/29/2011,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225
181,6/30/2011,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027,4488,5515
182,7/1/2011,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246,4116,5362
183,7/2/2011,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915,5119
184,7/3/2011,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367,4649
185,7/4/2011,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043
186,7/5/2011,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3634,4665
187,7/6/2011,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3845,4629
188,7/7/2011,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3838,4592
189,7/8/2011,3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692,3348,4040
190,7/9/2011,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988,3348,5336
191,7/10/2011,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138,4881
192,7/11/2011,3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723,3363,4086
193,7/12/2011,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258
194,7/13/2011,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748,3594,4342
195,7/14/2011,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888,4196,5084
196,7/15/2011,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4220,5538
197,7/16/2011,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418,3505,5923
198,7/17/2011,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296,5302
199,7/18/2011,3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841,3617,4458
200,7/19/2011,3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752,3789,4541
201,7/20/2011,3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644,3688,4332
202,7/21/2011,3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632,3152,3784
203,7/22/2011,3,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562,2825,3387
204,7/23/2011,3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,987,2298,3285
205,7/24/2011,3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050,2556,3606
206,7/25/2011,3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568,3272,3840
207,7/26/2011,3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750,3840,4590
208,7/27/2011,3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,755,3901,4656
209,7/28/2011,3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606,3784,4390
210,7/29/2011,3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670,3176,3846
211,7/30/2011,3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475
212,7/31/2011,3,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1524,2778,4302
213,8/1/2011,3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729,3537,4266
214,8/2/2011,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845
215,8/3/2011,3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467,3107,3574
216,8/4/2011,3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,799,3777,4576
217,8/5/2011,3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023,3843,4866
218,8/6/2011,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521,2773,4294
219,8/7/2011,3,0,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1298,2487,3785
220,8/8/2011,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,846,3480,4326
221,8/9/2011,3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,907,3695,4602
222,8/10/2011,3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884,3896,4780
223,8/11/2011,3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812,3980,4792
224,8/12/2011,3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051,3854,4905
225,8/13/2011,3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504,2646,4150
226,8/14/2011,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338,2482,3820
227,8/15/2011,3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775,3563,4338
228,8/16/2011,3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721,4004,4725
229,8/17/2011,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668,4026,4694
230,8/18/2011,3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639,3166,3805
231,8/19/2011,3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,797,3356,4153
232,8/20/2011,3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914,3277,5191
233,8/21/2011,3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249,2624,3873
234,8/22/2011,3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,833,3925,4758
235,8/23/2011,3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281,4614,5895
236,8/24/2011,3,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,949,4181,5130
237,8/25/2011,3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435,3107,3542
238,8/26/2011,3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768,3893,4661
239,8/27/2011,3,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,226,889,1115
240,8/28/2011,3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415,2919,4334
241,8/29/2011,3,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729,3905,4634
242,8/30/2011,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775,4429,5204
243,8/31/2011,3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,688,4370,5058
244,9/1/2011,3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,783,4332,5115
245,9/2/2011,3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875,3852,4727
246,9/3/2011,3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1935,2549,4484
247,9/4/2011,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2521,2419,4940
248,9/5/2011,3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1236,2115,3351
249,9/6/2011,3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,204,2506,2710
250,9/7/2011,3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,118,1878,1996
251,9/8/2011,3,0,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748,153,1689,1842
252,9/9/2011,3,0,9,0,5,1,2,0.65,0.578946,0.897917,0.124379,417,3127,3544
253,9/10/2011,3,0,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,1750,3595,5345
254,9/11/2011,3,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,1633,3413,5046
255,9/12/2011,3,0,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,690,4023,4713
256,9/13/2011,3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,701,4062,4763
257,9/14/2011,3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647,4138,4785
258,9/15/2011,3,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,428,3231,3659
259,9/16/2011,3,0,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,742,4018,4760
260,9/17/2011,3,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1434,3077,4511
261,9/18/2011,3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,1353,2921,4274
262,9/19/2011,3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,691,3848,4539
263,9/20/2011,3,0,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,438,3203,3641
264,9/21/2011,3,0,9,0,3,1,2,0.595,0.550533,0.9,0.0964042,539,3813,4352
265,9/22/2011,3,0,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125,555,4240,4795
266,9/23/2011,4,0,9,0,5,1,2,0.609167,0.522125,0.9725,0.0783667,258,2137,2395
267,9/24/2011,4,0,9,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,1776,3647,5423
268,9/25/2011,4,0,9,0,0,0,2,0.634167,0.572637,0.845,0.0503792,1544,3466,5010
269,9/26/2011,4,0,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,684,3946,4630
270,9/27/2011,4,0,9,0,2,1,2,0.636667,0.574525,0.885417,0.118171,477,3643,4120
271,9/28/2011,4,0,9,0,3,1,2,0.635,0.575158,0.84875,0.148629,480,3427,3907
272,9/29/2011,4,0,9,0,4,1,1,0.616667,0.574512,0.699167,0.172883,653,4186,4839
