instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
127,1/6/2012,1,1,1,7,0,5,1,2,0.24,0.2879,0.65,0,4,201,205
128,1/6/2012,1,1,1,8,0,5,1,1,0.24,0.2424,0.7,0.1343,11,436,447
129,1/6/2012,1,1,1,9,0,5,1,1,0.24,0.2424,0.7,0.1642,4,237,241
130,1/6/2012,1,1,1,10,0,5,1,1,0.26,0.2576,0.65,0.194,14,102,116
131,1/6/2012,1,1,1,11,0,5,1,1,0.3,0.303,0.56,0.1642,8,130,138
132,1/6/2012,1,1,1,12,0,5,1,1,0.36,0.3333,0.5,0.2537,23,168,191
133,1/6/2012,1,1,1,13,0,5,1,1,0.4,0.4091,0.43,0.2836,16,188,204
134,1/6/2012,1,1,1,14,0,5,1,1,0.46,0.4545,0.36,0.194,26,152,178
135,1/6/2012,1,1,1,15,0,5,1,1,0.52,0.5,0.27,0.2537,44,178,222
136,1/6/2012,1,1,1,16,0,5,1,1,0.52,0.5,0.27,0.2836,35,259,294
137,1/6/2012,1,1,1,17,0,5,1,1,0.46,0.4545,0.36,0.2239,20,456,476
138,1/6/2012,1,1,1,18,0,5,1,1,0.5,0.4848,0.29,0.2537,28,391,419
139,1/6/2012,1,1,1,19,0,5,1,1,0.46,0.4545,0.33,0.2836,11,261,272
140,1/6/2012,1,1,1,20,0,5,1,1,0.42,0.4242,0.41,0.194,14,163,177
141,1/6/2012,1,1,1,21,0,5,1,1,0.4,0.4091,0.43,0.2239,17,137,154
142,1/6/2012,1,1,1,22,0,5,1,1,0.36,0.3485,0.5,0.194,12,123,135
143,1/6/2012,1,1,1,23,0,5,1,1,0.36,0.3788,0.5,0,13,88,101
144,1/7/2012,1,1,1,0,0,6,0,1,0.36,0.3485,0.5,0.1642,2,77,79
145,1/7/2012,1,1,1,1,0,6,0,1,0.38,0.3939,0.46,0.1642,6,56,62
146,1/7/2012,1,1,1,2,0,6,0,1,0.36,0.3636,0.5,0.1045,2,36,38
147,1/7/2012,1,1,1,3,0,6,0,1,0.32,0.3333,0.57,0.1045,1,19,20
148,1/7/2012,1,1,1,4,0,6,0,1,0.32,0.3333,0.57,0.0896,1,9,10
149,1/7/2012,1,1,1,5,0,6,0,1,0.26,0.2727,0.75,0.1045,2,7,9
150,1/7/2012,1,1,1,6,0,6,0,1,0.26,0.2727,0.75,0.1045,0,7,7
151,1/7/2012,1,1,1,7,0,6,0,1,0.22,0.2273,0.87,0.194,0,20,20
152,1/7/2012,1,1,1,8,0,6,0,1,0.24,0.2576,0.75,0.1045,0,64,64
153,1/7/2012,1,1,1,9,0,6,0,1,0.22,0.2273,0.8,0.1343,14,116,130
154,1/7/2012,1,1,1,10,0,6,0,1,0.28,0.303,0.75,0.0896,43,160,203
155,1/7/2012,1,1,1,11,0,6,0,1,0.34,0.3182,0.57,0.2239,74,250,324
156,1/7/2012,1,1,1,12,0,6,0,1,0.4,0.4091,0.43,0.2239,100,276,376
157,1/7/2012,1,1,1,13,0,6,0,1,0.44,0.4394,0.44,0.194,149,296,445
158,1/7/2012,1,1,1,14,0,6,0,1,0.5,0.4848,0.42,0.2836,156,356,512
159,1/7/2012,1,1,1,15,0,6,0,1,0.58,0.5455,0.37,0.2985,132,317,449
160,1/7/2012,1,1,1,16,0,6,0,2,0.56,0.5303,0.37,0.2836,133,268,401
161,1/7/2012,1,1,1,17,0,6,0,2,0.54,0.5152,0.43,0.1343,87,235,322
162,1/7/2012,1,1,1,18,0,6,0,1,0.54,0.5152,0.45,0.1343,49,248,297
163,1/7/2012,1,1,1,19,0,6,0,1,0.52,0.5,0.42,0.1045,44,171,215
164,1/7/2012,1,1,1,20,0,6,0,1,0.5,0.4848,0.39,0.2537,21,149,170
165,1/7/2012,1,1,1,21,0,6,0,1,0.44,0.4394,0.44,0.2239,22,118,140
166,1/7/2012,1,1,1,22,0,6,0,1,0.44,0.4394,0.38,0.2537,16,93,109
167,1/7/2012,1,1,1,23,0,6,0,1,0.42,0.4242,0.38,0.2239,16,103,119
168,1/8/2012,1,1,1,0,0,0,0,1,0.38,0.3939,0.4,0.2836,14,77,91
169,1/8/2012,1,1,1,1,0,0,0,1,0.34,0.3333,0.42,0.194,10,62,72
170,1/8/2012,1,1,1,2,0,0,0,1,0.36,0.3333,0.37,0.2836,10,57,67
171,1/8/2012,1,1,1,3,0,0,0,1,0.34,0.3333,0.42,0.1343,6,26,32
172,1/8/2012,1,1,1,4,0,0,0,1,0.32,0.303,0.49,0.2537,2,4,6
173,1/8/2012,1,1,1,5,0,0,0,2,0.32,0.3333,0.49,0.1045,0,2,2
174,1/8/2012,1,1,1,6,0,0,0,2,0.3,0.3333,0.52,0,0,2,2
175,1/8/2012,1,1,1,7,0,0,0,2,0.3,0.3333,0.52,0,1,23,24
176,1/8/2012,1,1,1,8,0,0,0,1,0.3,0.303,0.52,0.1343,4,53,57
177,1/8/2012,1,1,1,9,0,0,0,1,0.32,0.3333,0.53,0.1343,23,102,125
178,1/8/2012,1,1,1,10,0,0,0,1,0.34,0.3333,0.49,0.1642,27,181,208
179,1/8/2012,1,1,1,11,0,0,0,1,0.36,0.3485,0.46,0.2239,55,201,256
180,1/8/2012,1,1,1,12,0,0,0,1,0.38,0.3939,0.43,0.2239,78,273,351
181,1/8/2012,1,1,1,13,0,0,0,1,0.4,0.4091,0.37,0.2985,77,266,343
182,1/8/2012,1,1,1,14,0,0,0,1,0.4,0.4091,0.4,0.194,75,253,328
183,1/8/2012,1,1,1,15,0,0,0,1,0.4,0.4091,0.37,0.2836,89,241,330
184,1/8/2012,1,1,1,16,0,0,0,1,0.4,0.4091,0.37,0.2985,58,256,314
185,1/8/2012,1,1,1,17,0,0,0,1,0.38,0.3939,0.4,0.2239,22,197,219
186,1/8/2012,1,1,1,18,0,0,0,1,0.34,0.3182,0.46,0.2239,19,162,181
187,1/8/2012,1,1,1,19,0,0,0,1,0.32,0.3182,0.49,0.194,8,104,112
188,1/8/2012,1,1,1,20,0,0,0,1,0.3,0.303,0.52,0.1642,7,119,126
189,1/8/2012,1,1,1,21,0,0,0,1,0.28,0.2727,0.56,0.2239,10,81,91
190,1/8/2012,1,1,1,22,0,0,0,1,0.26,0.2727,0.6,0.1045,4,54,58
191,1/8/2012,1,1,1,23,0,0,0,1,0.26,0.2424,0.56,0.2537,0,30,30
192,1/9/2012,1,1,1,0,0,1,1,1,0.24,0.2273,0.6,0.2239,3,12,15
193,1/9/2012,1,1,1,1,0,1,1,1,0.24,0.2424,0.6,0.1343,1,4,5
194,1/9/2012,1,1,1,2,0,1,1,1,0.24,0.2424,0.56,0.1343,2,3,5
195,1/9/2012,1,1,1,3,0,1,1,1,0.24,0.2424,0.52,0.1642,0,3,3
196,1/9/2012,1,1,1,4,0,1,1,1,0.22,0.2424,0.64,0.1045,0,4,4
197,1/9/2012,1,1,1,5,0,1,1,2,0.2,0.2273,0.64,0.0896,0,21,21
198,1/9/2012,1,1,1,6,0,1,1,2,0.22,0.2273,0.6,0.1343,3,85,88
199,1/9/2012,1,1,1,7,0,1,1,2,0.22,0.2424,0.6,0.1045,1,239,240
200,1/9/2012,1,1,1,8,0,1,1,2,0.22,0.2576,0.55,0.0896,13,407,420
201,1/9/2012,1,1,1,9,0,1,1,2,0.22,0.2727,0.64,0,9,188,197
202,1/9/2012,1,1,1,10,0,1,1,1,0.24,0.2879,0.6,0,13,95,108
203,1/9/2012,1,1,1,11,0,1,1,2,0.26,0.2879,0.56,0.0896,6,82,88
204,1/9/2012,1,1,1,12,0,1,1,2,0.26,0.2727,0.56,0.1045,10,93,103
205,1/9/2012,1,1,1,13,0,1,1,2,0.26,0.2727,0.56,0.1045,3,77,80
206,1/9/2012,1,1,1,14,0,1,1,3,0.22,0.2273,0.75,0.1642,5,45,50
207,1/9/2012,1,1,1,15,0,1,1,3,0.22,0.2273,0.75,0.1642,5,64,69
208,1/9/2012,1,1,1,16,0,1,1,3,0.22,0.2576,0.87,0.0896,3,46,49
209,1/9/2012,1,1,1,17,0,1,1,3,0.22,0.2727,0.87,0,5,147,152
210,1/9/2012,1,1,1,18,0,1,1,4,0.2,0.2273,0.86,0.0896,6,158,164
211,1/9/2012,1,1,1,19,0,1,1,3,0.2,0.2273,0.93,0.0896,3,187,190
212,1/9/2012,1,1,1,20,0,1,1,2,0.2,0.2273,0.86,0.0896,5,127,132
213,1/9/2012,1,1,1,21,0,1,1,2,0.2,0.2576,0.93,0,1,78,79
214,1/9/2012,1,1,1,22,0,1,1,2,0.2,0.2273,0.92,0.1045,8,54,62
215,1/9/2012,1,1,1,23,0,1,1,2,0.22,0.2424,0.87,0.1045,1,51,52
216,1/10/2012,1,1,1,0,0,2,1,2,0.22,0.2424,0.87,0.1045,0,14,14
217,1/10/2012,1,1,1,1,0,2,1,2,0.22,0.2424,0.93,0.1045,2,3,5
218,1/10/2012,1,1,1,2,0,2,1,2,0.22,0.2273,0.87,0.1642,2,2,4
219,1/10/2012,1,1,1,4,0,2,1,2,0.2,0.2121,0.86,0.1642,0,4,4
220,1/10/2012,1,1,1,5,0,2,1,1,0.4,0.4091,0.47,0.2239,0,23,23
221,1/10/2012,1,1,1,6,0,2,1,2,0.18,0.1818,0.93,0.194,0,79,79
222,1/10/2012,1,1,1,7,0,2,1,2,0.18,0.197,0.93,0.1642,3,219,222
223,1/10/2012,1,1,1,8,0,2,1,2,0.18,0.197,0.93,0.1642,6,465,471
224,1/10/2012,1,1,1,9,0,2,1,2,0.18,0.197,0.93,0.1642,11,184,195
225,1/10/2012,1,1,1,10,0,2,1,2,0.18,0.197,0.93,0.1642,3,80,83
226,1/10/2012,1,1,1,11,0,2,1,1,0.42,0.4242,0.38,0.2985,8,93,101
227,1/10/2012,1,1,1,12,0,2,1,1,0.42,0.4242,0.38,0.2985,13,127,140
228,1/10/2012,1,1,1,13,0,2,1,1,0.42,0.4242,0.38,0.2985,15,163,178
229,1/10/2012,1,1,1,14,0,2,1,1,0.42,0.4242,0.38,0.2985,10,96,106
230,1/10/2012,1,1,1,15,0,2,1,1,0.42,0.4242,0.38,0.2985,17,119,136
231,1/10/2012,1,1,1,16,0,2,1,1,0.42,0.4242,0.38,0.3582,15,225,240
232,1/10/2012,1,1,1,17,0,2,1,1,0.42,0.4242,0.38,0.2537,14,446,460
233,1/10/2012,1,1,1,18,0,2,1,1,0.4,0.4091,0.4,0.1045,13,372,385
234,1/10/2012,1,1,1,19,0,2,1,1,0.38,0.3939,0.46,0.1045,11,270,281
235,1/10/2012,1,1,1,20,0,2,1,1,0.34,0.3485,0.53,0.1045,10,190,200
236,1/10/2012,1,1,1,21,0,2,1,1,0.32,0.3333,0.66,0.0896,7,109,116
237,1/10/2012,1,1,1,22,0,2,1,1,0.3,0.303,0.7,0.0896,10,104,114
238,1/10/2012,1,1,1,23,0,2,1,1,0.26,0.2727,0.81,0.1045,3,38,41
239,1/11/2012,1,1,1,0,0,3,1,1,0.26,0.303,0.81,0,2,26,28
240,1/11/2012,1,1,1,1,0,3,1,1,0.24,0.2576,0.87,0.0896,1,6,7
241,1/11/2012,1,1,1,2,0,3,1,1,0.2,0.2121,0.85,0.1642,0,5,5
242,1/11/2012,1,1,1,3,0,3,1,1,0.22,0.2727,0.8,0,0,4,4
243,1/11/2012,1,1,1,4,0,3,1,1,0.2,0.2121,0.8,0.1343,0,2,2
244,1/11/2012,1,1,1,5,0,3,1,1,0.2,0.2121,0.8,0.1343,0,22,22
245,1/11/2012,1,1,1,6,0,3,1,1,0.2,0.2121,0.86,0.1343,2,72,74
246,1/11/2012,1,1,1,7,0,3,1,1,0.2,0.2121,0.8,0.1343,9,247,256
247,1/11/2012,1,1,1,8,0,3,1,1,0.2,0.2273,0.82,0.1045,11,488,499
248,1/11/2012,1,1,1,9,0,3,1,2,0.2,0.2121,0.86,0.1343,7,218,225
249,1/11/2012,1,1,1,10,0,3,1,2,0.24,0.2424,0.87,0.1343,13,84,97
250,1/11/2012,1,1,1,11,0,3,1,2,0.26,0.2879,0.87,0.0896,9,90,99
251,1/11/2012,1,1,1,12,0,3,1,3,0.3,0.3333,0.81,0,4,51,55
252,1/11/2012,1,1,1,13,0,3,1,3,0.32,0.3485,0.76,0,8,57,65
253,1/11/2012,1,1,1,14,0,3,1,3,0.32,0.3333,0.81,0.1045,3,70,73
254,1/11/2012,1,1,1,15,0,3,1,2,0.34,0.3485,0.87,0.0896,6,73,79
255,1/11/2012,1,1,1,16,0,3,1,2,0.34,0.3182,0.87,0.2537,6,112,118
256,1/11/2012,1,1,1,17,0,3,1,3,0.34,0.3182,0.87,0.2239,6,128,134
257,1/11/2012,1,1,1,18,0,3,1,3,0.34,0.3333,0.87,0.194,2,96,98
258,1/11/2012,1,1,1,19,0,3,1,3,0.32,0.303,0.93,0.2239,1,92,93
259,1/11/2012,1,1,1,20,0,3,1,3,0.32,0.3182,0.93,0.1642,2,55,57
260,1/11/2012,1,1,1,21,0,3,1,3,0.34,0.3182,0.87,0.2239,0,29,29
261,1/11/2012,1,1,1,22,0,3,1,3,0.34,0.3333,0.87,0.194,0,49,49
262,1/11/2012,1,1,1,23,0,3,1,3,0.34,0.3182,0.87,0.2239,0,9,9
263,1/12/2012,1,1,1,0,0,4,1,3,0.34,0.3333,0.93,0.194,0,3,3
264,1/12/2012,1,1,1,1,0,4,1,3,0.36,0.3485,0.93,0.194,0,3,3
265,1/12/2012,1,1,1,2,0,4,1,3,0.36,0.3485,0.93,0.2537,1,1,2
266,1/12/2012,1,1,1,3,0,4,1,3,0.36,0.3485,0.93,0.2537,0,3,3
267,1/12/2012,1,1,1,4,0,4,1,3,0.36,0.3485,0.93,0.194,0,2,2
268,1/12/2012,1,1,1,5,0,4,1,3,0.34,0.3485,0.93,0.0896,0,16,16
269,1/12/2012,1,1,1,6,0,4,1,3,0.36,0.3485,0.93,0.1343,1,88,89
270,1/12/2012,1,1,1,7,0,4,1,2,0.34,0.3182,0.87,0.2836,2,218,220
271,1/12/2012,1,1,1,8,0,4,1,1,0.32,0.3182,0.81,0.194,11,497,508
272,1/12/2012,1,1,1,9,0,4,1,1,0.32,0.3333,0.81,0.1045,10,220,230
273,1/12/2012,1,1,1,10,0,4,1,1,0.34,0.3485,0.81,0.1045,6,84,90
274,1/12/2012,1,1,1,11,0,4,1,2,0.34,0.3485,0.81,0.1045,18,101,119
275,1/12/2012,1,1,1,12,0,4,1,2,0.34,0.3485,0.81,0.1045,14,130,144
276,1/12/2012,1,1,1,13,0,4,1,1,0.42,0.4242,0.77,0.1642,13,170,183
277,1/12/2012,1,1,1,14,0,4,1,1,0.42,0.4242,0.77,0.1642,24,132,156
278,1/12/2012,1,1,1,15,0,4,1,1,0.44,0.4394,0.72,0.1343,32,156,188
279,1/12/2012,1,1,1,16,0,4,1,1,0.46,0.4545,0.67,0.194,33,248,281
280,1/12/2012,1,1,1,17,0,4,1,1,0.46,0.4545,0.63,0.1642,23,472,495
281,1/12/2012,1,1,1,18,0,4,1,1,0.44,0.4394,0.67,0.194,22,399,421
282,1/12/2012,1,1,1,19,0,4,1,2,0.42,0.4242,0.71,0.1642,17,313,330
283,1/12/2012,1,1,1,20,0,4,1,2,0.42,0.4242,0.71,0.194,11,229,240
284,1/12/2012,1,1,1,21,0,4,1,1,0.44,0.4394,0.67,0.1343,12,162,174
285,1/12/2012,1,1,1,22,0,4,1,1,0.38,0.3939,0.76,0.2985,12,121,133
