dteday,hr,temp,hum,cnt
1/6/2011,20,0.2,0.51,69
1/6/2011,21,0.22,0.55,48
1/6/2011,22,0.22,0.51,52
1/6/2011,23,0.2,0.59,23
1/7/2011,0,0.2,0.64,17
1/7/2011,1,0.2,0.69,7
1/7/2011,2,0.2,0.69,1
1/7/2011,4,0.2,0.69,1
1/7/2011,5,0.22,0.55,5
1/7/2011,6,0.2,0.69,34
1/7/2011,7,0.2,0.69,84
1/7/2011,8,0.2,0.51,210
1/7/2011,9,0.2,0.47,134
1/7/2011,10,0.22,0.37,63
1/7/2011,11,0.2,0.4,67
1/7/2011,12,0.2,0.37,59
1/7/2011,13,0.2,0.37,73
1/7/2011,14,0.2,0.4,50
1/7/2011,15,0.2,0.37,72
1/7/2011,16,0.2,0.37,87
1/7/2011,17,0.2,0.37,187
1/7/2011,18,0.2,0.4,123
1/7/2011,19,0.16,0.55,95
1/7/2011,20,0.18,0.47,51
1/7/2011,21,0.18,0.47,39
1/7/2011,22,0.18,0.43,36
1/7/2011,23,0.18,0.51,15
1/8/2011,0,0.18,0.51,25
1/8/2011,1,0.18,0.55,16
1/8/2011,2,0.18,0.55,16
1/8/2011,3,0.18,0.55,7
1/8/2011,4,0.18,0.55,1
1/8/2011,5,0.16,0.74,5
1/8/2011,6,0.16,0.74,2
1/8/2011,7,0.16,0.74,9
1/8/2011,8,0.16,0.93,15
1/8/2011,9,0.16,0.93,20
1/8/2011,10,0.18,0.8,61
1/8/2011,11,0.2,0.69,62
1/8/2011,12,0.2,0.59,98
1/8/2011,13,0.2,0.44,102
1/8/2011,14,0.2,0.32,95
1/8/2011,15,0.2,0.32,74
1/8/2011,16,0.18,0.29,76
1/8/2011,17,0.16,0.37,69
1/8/2011,18,0.14,0.39,55
1/8/2011,19,0.14,0.36,30
1/8/2011,20,0.12,0.36,28
1/8/2011,21,0.12,0.39,37
1/8/2011,22,0.12,0.36,34
1/8/2011,23,0.1,0.39,22
1/9/2011,0,0.1,0.42,25
1/9/2011,1,0.1,0.42,12
1/9/2011,2,0.1,0.46,11
1/9/2011,3,0.1,0.46,4
1/9/2011,4,0.08,0.53,1
1/9/2011,5,0.08,0.53,1
1/9/2011,6,0.1,0.49,1
1/9/2011,7,0.08,0.53,6
1/9/2011,8,0.1,0.49,10
1/9/2011,9,0.12,0.46,19
1/9/2011,10,0.14,0.43,49
1/9/2011,11,0.16,0.4,49
1/9/2011,12,0.18,0.37,83
1/9/2011,13,0.2,0.34,75
1/9/2011,14,0.22,0.32,72
1/9/2011,15,0.22,0.35,82
1/9/2011,16,0.2,0.34,92
1/9/2011,17,0.18,0.37,62
1/9/2011,18,0.16,0.4,48
1/9/2011,19,0.16,0.43,41
1/9/2011,20,0.14,0.46,38
1/9/2011,21,0.14,0.46,20
1/9/2011,22,0.14,0.46,15
1/9/2011,23,0.12,0.5,6
1/10/2011,0,0.12,0.5,5
1/10/2011,1,0.12,0.5,1
1/10/2011,2,0.12,0.5,3
1/10/2011,3,0.12,0.5,1
1/10/2011,4,0.1,0.54,3
1/10/2011,5,0.1,0.54,3
1/10/2011,6,0.12,0.5,31
1/10/2011,7,0.12,0.5,77
1/10/2011,8,0.12,0.5,188
1/10/2011,9,0.14,0.5,94
1/10/2011,10,0.14,0.5,31
1/10/2011,11,0.16,0.47,30
1/10/2011,12,0.2,0.4,52
1/10/2011,13,0.2,0.4,54
1/10/2011,14,0.2,0.4,47
1/10/2011,15,0.2,0.4,45
1/10/2011,16,0.2,0.4,74
1/10/2011,17,0.2,0.4,178
1/10/2011,18,0.2,0.4,155
1/10/2011,19,0.16,0.47,95
1/10/2011,20,0.16,0.5,74
1/10/2011,21,0.14,0.59,38
1/10/2011,22,0.14,0.59,24
1/10/2011,23,0.14,0.59,18
1/11/2011,0,0.14,0.59,12
1/11/2011,1,0.14,0.59,3
1/11/2011,2,0.16,0.55,3
1/11/2011,5,0.16,0.55,6
1/11/2011,6,0.16,0.55,27
1/11/2011,7,0.16,0.55,99
1/11/2011,8,0.18,0.51,217
1/11/2011,9,0.18,0.51,130
1/11/2011,10,0.2,0.51,54
1/11/2011,11,0.2,0.47,35
1/11/2011,12,0.2,0.51,57
1/11/2011,13,0.2,0.59,52
1/11/2011,14,0.2,0.59,63
1/11/2011,15,0.16,0.8,47
1/11/2011,16,0.16,0.86,76
1/11/2011,17,0.16,0.86,136
1/11/2011,18,0.16,0.93,95
1/11/2011,19,0.16,0.93,51
1/11/2011,20,0.16,0.93,32
1/11/2011,21,0.16,0.86,20
1/11/2011,22,0.16,0.93,29
1/11/2011,23,0.16,0.93,19
1/12/2011,0,0.16,0.86,7
1/12/2011,1,0.16,0.86,6
1/12/2011,2,0.14,0.86,1
1/12/2011,5,0.14,0.86,5
1/12/2011,6,0.12,0.93,16
1/12/2011,7,0.14,0.69,54
1/12/2011,8,0.16,0.59,128
1/12/2011,9,0.16,0.59,81
1/12/2011,10,0.18,0.55,39
1/12/2011,11,0.2,0.51,35
1/12/2011,12,0.2,0.47,55
1/12/2011,13,0.22,0.44,49
1/12/2011,14,0.2,0.47,44
1/12/2011,15,0.2,0.47,49
1/12/2011,16,0.22,0.44,68
1/12/2011,17,0.2,0.47,139
1/12/2011,18,0.2,0.47,137
1/12/2011,19,0.18,0.47,83
1/12/2011,20,0.16,0.5,56
1/12/2011,21,0.16,0.55,57
1/12/2011,22,0.16,0.55,33
1/12/2011,23,0.14,0.59,20
1/13/2011,0,0.14,0.59,7
1/13/2011,1,0.14,0.5,2
1/13/2011,2,0.14,0.5,2
1/13/2011,3,0.14,0.5,3
1/13/2011,4,0.14,0.5,4
1/13/2011,5,0.14,0.5,3
1/13/2011,6,0.12,0.54,28
1/13/2011,7,0.12,0.54,72
1/13/2011,8,0.14,0.5,202
1/13/2011,9,0.14,0.5,139
1/13/2011,10,0.16,0.5,38
1/13/2011,11,0.2,0.44,37
1/13/2011,12,0.2,0.44,52
1/13/2011,13,0.22,0.41,83
1/13/2011,14,0.22,0.41,42
1/13/2011,15,0.24,0.38,60
1/13/2011,16,0.24,0.38,78
1/13/2011,17,0.2,0.4,162
1/13/2011,18,0.2,0.4,144
1/13/2011,19,0.16,0.47,99
1/13/2011,20,0.16,0.47,64
1/13/2011,21,0.14,0.46,40
1/13/2011,22,0.14,0.46,30
1/13/2011,23,0.12,0.5,15
1/14/2011,0,0.12,0.5,14
1/14/2011,1,0.1,0.54,5
1/14/2011,2,0.1,0.54,1
1/14/2011,3,0.1,0.54,1
1/14/2011,5,0.1,0.54,8
1/14/2011,6,0.1,0.54,17
1/14/2011,7,0.1,0.74,70
1/14/2011,8,0.12,0.68,158
1/14/2011,9,0.14,0.69,117
1/14/2011,10,0.18,0.55,44
1/14/2011,11,0.18,0.51,53
1/14/2011,12,0.2,0.44,61
1/14/2011,13,0.22,0.37,77
1/14/2011,14,0.22,0.41,64
1/14/2011,15,0.24,0.38,68
1/14/2011,16,0.22,0.41,90
1/14/2011,17,0.22,0.41,159
1/14/2011,18,0.2,0.47,139
1/14/2011,19,0.16,0.59,92
1/14/2011,20,0.18,0.59,68
1/14/2011,21,0.16,0.69,52
1/14/2011,22,0.16,0.69,36
1/14/2011,23,0.18,0.55,27
1/15/2011,0,0.18,0.55,28
1/15/2011,1,0.16,0.59,20
1/15/2011,2,0.16,0.59,12
1/15/2011,3,0.16,0.59,8
1/15/2011,4,0.16,0.59,5
1/15/2011,5,0.16,0.59,1
1/15/2011,6,0.14,0.63,3
1/15/2011,7,0.14,0.63,10
1/15/2011,8,0.14,0.63,23
1/15/2011,9,0.16,0.64,33
1/15/2011,10,0.18,0.59,59
1/15/2011,11,0.2,0.55,72
1/15/2011,12,0.24,0.48,89
1/15/2011,13,0.28,0.38,101
1/15/2011,14,0.3,0.39,118
1/15/2011,15,0.32,0.36,129
1/15/2011,16,0.34,0.34,128
1/15/2011,17,0.32,0.36,83
1/15/2011,18,0.3,0.45,84
1/15/2011,19,0.32,0.39,74
1/15/2011,20,0.32,0.39,41
1/15/2011,21,0.32,0.39,57
1/15/2011,22,0.3,0.42,26
1/15/2011,23,0.3,0.45,44
1/16/2011,0,0.26,0.56,39
1/16/2011,1,0.26,0.56,23
1/16/2011,2,0.26,0.56,16
1/16/2011,3,0.22,0.69,15
1/16/2011,4,0.26,0.56,1
1/16/2011,5,0.26,0.56,2
1/16/2011,6,0.26,0.56,1
1/16/2011,7,0.24,0.56,3
1/16/2011,8,0.22,0.55,18
1/16/2011,9,0.22,0.51,32
1/16/2011,10,0.22,0.51,79
1/16/2011,11,0.24,0.44,93
1/16/2011,12,0.24,0.41,104
1/16/2011,13,0.26,0.35,118
1/16/2011,14,0.28,0.36,91
1/16/2011,15,0.26,0.38,113
1/16/2011,16,0.24,0.38,99
1/16/2011,17,0.22,0.37,105
1/16/2011,18,0.2,0.4,67
1/16/2011,19,0.18,0.47,61
1/16/2011,20,0.18,0.47,57
1/16/2011,21,0.18,0.51,28
1/16/2011,22,0.2,0.49,21
1/16/2011,23,0.2,0.4,18
1/17/2011,0,0.2,0.47,17
1/17/2011,1,0.2,0.44,16
1/17/2011,2,0.18,0.43,8
1/17/2011,3,0.18,0.43,2
1/17/2011,4,0.18,0.43,3
1/17/2011,5,0.18,0.43,1
1/17/2011,6,0.18,0.43,5
1/17/2011,7,0.16,0.5,13
1/17/2011,8,0.16,0.47,33
1/17/2011,9,0.16,0.47,47
1/17/2011,10,0.16,0.5,57
1/17/2011,11,0.16,0.55,64
1/17/2011,12,0.18,0.47,80
1/17/2011,13,0.18,0.47,93
1/17/2011,14,0.18,0.43,86
1/17/2011,15,0.2,0.47,93
1/17/2011,16,0.2,0.47,82
1/17/2011,17,0.2,0.51,71
1/17/2011,18,0.18,0.55,92
1/17/2011,19,0.18,0.59,60
1/17/2011,20,0.16,0.8,33
1/17/2011,21,0.16,0.8,27
1/17/2011,22,0.14,0.93,13
1/17/2011,23,0.16,0.86,4
1/18/2011,12,0.2,0.86,3
1/18/2011,13,0.2,0.86,22
1/18/2011,14,0.22,0.8,28
1/18/2011,15,0.22,0.87,35
1/18/2011,16,0.22,0.87,61
1/18/2011,17,0.22,0.82,125
1/18/2011,18,0.22,0.8,133
1/18/2011,19,0.22,0.8,99
1/18/2011,20,0.22,0.87,83
1/18/2011,21,0.22,0.93,41
1/18/2011,22,0.22,0.93,33
1/18/2011,23,0.22,0.93,20
1/19/2011,0,0.22,0.93,3
1/19/2011,1,0.22,0.93,7
1/19/2011,2,0.22,0.93,3
1/19/2011,4,0.22,0.93,2
1/19/2011,5,0.22,0.93,7
1/19/2011,6,0.22,0.93,32
1/19/2011,7,0.24,0.92,90
1/19/2011,8,0.24,0.93,197
1/19/2011,9,0.24,0.93,109
1/19/2011,10,0.26,0.93,47
1/19/2011,11,0.28,0.87,52
1/19/2011,12,0.3,0.81,70
1/19/2011,13,0.4,0.62,78
1/19/2011,14,0.4,0.58,75
1/19/2011,15,0.4,0.54,82
1/19/2011,16,0.38,0.58,104
1/19/2011,17,0.36,0.57,197
1/19/2011,18,0.34,0.61,161
1/19/2011,19,0.32,0.57,112
1/19/2011,20,0.32,0.49,76
1/19/2011,21,0.32,0.49,59
1/19/2011,22,0.3,0.52,59
1/19/2011,23,0.3,0.52,28
1/20/2011,0,0.26,0.56,13
1/20/2011,1,0.26,0.56,5
1/20/2011,2,0.26,0.56,2
1/20/2011,3,0.26,0.56,1
1/20/2011,4,0.26,0.56,1
1/20/2011,5,0.24,0.6,6
1/20/2011,6,0.22,0.6,35
1/20/2011,7,0.22,0.55,101
1/20/2011,8,0.22,0.55,249
1/20/2011,9,0.24,0.52,143
1/20/2011,10,0.26,0.48,57
1/20/2011,11,0.28,0.45,68
1/20/2011,12,0.3,0.42,84
1/20/2011,13,0.28,0.45,98
1/20/2011,14,0.3,0.45,81
1/20/2011,15,0.32,0.45,70
1/20/2011,16,0.3,0.49,91
1/20/2011,17,0.3,0.49,215
1/20/2011,18,0.26,0.56,185
1/20/2011,19,0.26,0.56,152
1/20/2011,20,0.26,0.6,126
1/20/2011,21,0.24,0.6,57
1/20/2011,22,0.24,0.65,56
1/20/2011,23,0.24,0.65,31
1/21/2011,0,0.24,0.7,21
1/21/2011,1,0.24,0.7,6
1/21/2011,2,0.24,0.75,2
1/21/2011,3,0.22,0.8,1
1/21/2011,4,0.22,0.87,1
1/21/2011,5,0.24,0.6,5
1/21/2011,6,0.22,0.55,27
1/21/2011,7,0.2,0.51,68
1/21/2011,8,0.2,0.47,217
1/21/2011,9,0.2,0.51,166
1/21/2011,10,0.2,0.47,63
1/21/2011,11,0.22,0.41,59
1/21/2011,12,0.22,0.27,78
1/21/2011,13,0.2,0.21,73
1/21/2011,14,0.2,0.25,62
1/21/2011,15,0.16,0.26,65
1/21/2011,16,0.16,0.26,97
1/21/2011,17,0.14,0.28,161
1/21/2011,18,0.12,0.3,120
1/21/2011,19,0.12,0.3,96
1/21/2011,20,0.1,0.33,53
1/21/2011,21,0.08,0.38,41
1/21/2011,22,0.06,0.41,34
1/21/2011,23,0.06,0.38,27
1/22/2011,0,0.04,0.45,13
1/22/2011,1,0.04,0.41,12
1/22/2011,2,0.04,0.41,11
1/22/2011,3,0.04,0.41,7
1/22/2011,4,0.02,0.48,3
1/22/2011,6,0.02,0.44,2
1/22/2011,7,0.02,0.44,8
1/22/2011,8,0.02,0.44,27
1/22/2011,9,0.04,0.41,40
1/22/2011,10,0.04,0.41,53
1/22/2011,11,0.06,0.38,63
1/22/2011,12,0.06,0.38,70
1/22/2011,13,0.08,0.35,84
1/22/2011,14,0.1,0.33,75
1/22/2011,15,0.12,0.28,103
1/22/2011,16,0.12,0.28,83
1/22/2011,17,0.12,0.28,67
1/22/2011,18,0.08,0.35,54
1/22/2011,19,0.08,0.35,59
1/22/2011,20,0.06,0.45,45
1/22/2011,21,0.06,0.41,39
1/22/2011,22,0.06,0.49,30
1/22/2011,23,0.04,0.57,33
1/23/2011,0,0.04,0.57,22
1/23/2011,1,0.04,0.57,13
1/23/2011,2,0.02,0.62,18
1/23/2011,3,0.02,0.62,5
1/23/2011,5,0.04,0.57,3
1/23/2011,6,0.04,0.57,1
1/23/2011,7,0.08,0.58,2
1/23/2011,8,0.06,0.62,19
1/23/2011,9,0.1,0.54,28
1/23/2011,10,0.14,0.46,58
1/23/2011,11,0.14,0.43,99
1/23/2011,12,0.16,0.37,116
1/23/2011,13,0.14,0.33,87
1/23/2011,14,0.16,0.28,110
1/23/2011,15,0.16,0.28,77
1/23/2011,16,0.16,0.26,65
1/23/2011,17,0.14,0.26,55
1/23/2011,18,0.12,0.3,49
1/23/2011,19,0.12,0.3,50
1/23/2011,20,0.1,0.36,35
1/23/2011,21,0.1,0.36,25
1/23/2011,22,0.08,0.38,28
1/23/2011,23,0.06,0.41,21
1/24/2011,0,0.06,0.41,7
1/24/2011,1,0.04,0.45,1
1/24/2011,3,0.04,0.45,1
1/24/2011,4,0.02,0.48,1
1/24/2011,5,0.02,0.48,5
1/24/2011,6,0.02,0.48,15
1/24/2011,7,0.02,0.48,84
1/24/2011,8,0.04,0.49,177
1/24/2011,9,0.06,0.41,102
1/24/2011,10,0.1,0.42,40
1/24/2011,11,0.1,0.46,46
1/24/2011,12,0.12,0.42,63
1/24/2011,13,0.14,0.43,60
1/24/2011,14,0.14,0.46,45
1/24/2011,15,0.16,0.4,57
1/24/2011,16,0.16,0.47,70
1/24/2011,17,0.14,0.5,184
1/24/2011,18,0.14,0.59,153
1/24/2011,19,0.14,0.54,106
1/24/2011,20,0.14,0.59,81
1/24/2011,21,0.14,0.63,59
1/24/2011,22,0.14,0.63,35
1/24/2011,23,0.16,0.64,24
1/25/2011,0,0.16,0.69,9
1/25/2011,1,0.16,0.69,5
1/25/2011,2,0.16,0.69,2
1/25/2011,4,0.14,0.74,1
1/25/2011,5,0.14,0.74,9
1/25/2011,6,0.16,0.74,36
1/25/2011,7,0.16,0.74,108
1/25/2011,8,0.16,0.74,238
1/25/2011,9,0.2,0.64,144
1/25/2011,10,0.22,0.6,55
1/25/2011,11,0.24,0.6,61
1/25/2011,12,0.26,0.56,106
1/25/2011,13,0.26,0.56,93
1/25/2011,14,0.3,0.45,68
1/25/2011,15,0.32,0.42,84
1/25/2011,16,0.32,0.42,116
1/25/2011,17,0.3,0.45,222
1/25/2011,18,0.3,0.49,225
1/25/2011,19,0.26,0.65,146
1/25/2011,20,0.24,0.65,119
1/25/2011,21,0.24,0.65,45
1/25/2011,22,0.22,0.64,53
1/25/2011,23,0.22,0.64,40
1/26/2011,0,0.22,0.69,17
1/26/2011,1,0.24,0.65,5
1/26/2011,2,0.22,0.69,10
1/26/2011,5,0.2,0.86,1
1/26/2011,6,0.2,0.86,8
1/26/2011,7,0.22,0.87,30
1/26/2011,8,0.22,0.87,72
1/26/2011,9,0.22,0.87,58
1/26/2011,10,0.22,0.93,28
1/26/2011,11,0.22,0.93,41
1/26/2011,12,0.22,0.93,48
1/26/2011,13,0.22,0.93,47
1/26/2011,14,0.22,0.93,36
1/26/2011,15,0.22,0.93,43
1/26/2011,16,0.22,0.93,36
1/26/2011,17,0.2,0.93,26
1/27/2011,16,0.22,0.55,24
1/27/2011,17,0.22,0.55,84
1/27/2011,18,0.2,0.69,104
1/27/2011,19,0.2,0.69,79
1/27/2011,20,0.18,0.74,59
1/27/2011,21,0.18,0.74,38
1/27/2011,22,0.18,0.74,27
1/27/2011,23,0.18,0.8,16
1/28/2011,0,0.2,0.75,9
1/28/2011,1,0.2,0.75,3
1/28/2011,2,0.2,0.75,2
1/28/2011,3,0.2,0.75,1
1/28/2011,5,0.18,0.8,4
1/28/2011,6,0.18,0.8,16
1/28/2011,7,0.16,0.86,60
1/28/2011,8,0.16,0.86,157
1/28/2011,9,0.18,0.86,101
1/28/2011,10,0.18,0.86,49
1/28/2011,11,0.18,0.93,30
1/28/2011,12,0.18,0.93,29
1/28/2011,13,0.18,0.93,31
1/28/2011,14,0.22,0.8,38
1/28/2011,15,0.2,0.86,41
1/28/2011,16,0.22,0.8,80
1/28/2011,17,0.24,0.75,149
1/28/2011,18,0.24,0.75,109
1/28/2011,19,0.24,0.75,89
1/28/2011,20,0.24,0.7,62
1/28/2011,21,0.22,0.75,58
1/28/2011,22,0.24,0.65,26
1/28/2011,23,0.24,0.6,23
1/29/2011,0,0.22,0.64,28
1/29/2011,1,0.22,0.64,20
1/29/2011,2,0.22,0.64,15
1/29/2011,3,0.2,0.64,8
1/29/2011,4,0.16,0.69,3
1/29/2011,6,0.16,0.64,2
1/29/2011,7,0.16,0.59,5
1/29/2011,8,0.18,0.55,34
1/29/2011,9,0.18,0.59,34
1/29/2011,10,0.18,0.64,55
1/29/2011,11,0.18,0.64,64
1/29/2011,12,0.2,0.59,78
1/29/2011,13,0.22,0.55,65
1/29/2011,14,0.22,0.6,99
1/29/2011,15,0.22,0.69,120
1/29/2011,16,0.24,0.6,107
1/29/2011,17,0.24,0.6,91
1/29/2011,18,0.22,0.69,68
1/29/2011,19,0.22,0.69,58
1/29/2011,20,0.18,0.74,43
1/29/2011,21,0.18,0.74,36
1/29/2011,22,0.16,0.8,32
1/29/2011,23,0.16,0.8,33
1/30/2011,0,0.16,0.8,33
1/30/2011,1,0.14,0.8,29
1/30/2011,2,0.16,0.8,11
1/30/2011,3,0.14,0.93,8
1/30/2011,4,0.14,0.93,1
1/30/2011,5,0.14,0.86,3
1/30/2011,7,0.14,0.86,3
1/30/2011,8,0.14,0.86,12
1/30/2011,9,0.16,0.8,38
1/30/2011,10,0.18,0.8,64
1/30/2011,11,0.22,0.75,59
1/30/2011,12,0.3,0.52,97
1/30/2011,13,0.28,0.61,84
1/30/2011,14,0.28,0.61,122
1/30/2011,15,0.3,0.56,109
1/30/2011,16,0.3,0.56,123
1/30/2011,17,0.3,0.56,77
1/30/2011,18,0.26,0.65,65
1/30/2011,19,0.26,0.65,55
1/30/2011,20,0.26,0.65,33
1/30/2011,21,0.24,0.7,28
1/30/2011,22,0.24,0.7,21
1/30/2011,23,0.24,0.65,21
1/31/2011,0,0.24,0.65,7
1/31/2011,1,0.22,0.64,7
1/31/2011,2,0.22,0.64,1
1/31/2011,3,0.22,0.64,2
1/31/2011,4,0.2,0.59,2
1/31/2011,5,0.18,0.64,8
1/31/2011,6,0.16,0.69,37
1/31/2011,7,0.16,0.64,72
1/31/2011,8,0.16,0.59,185
1/31/2011,9,0.16,0.59,112
1/31/2011,10,0.16,0.59,69
1/31/2011,11,0.16,0.59,48
1/31/2011,12,0.18,0.55,68
1/31/2011,13,0.16,0.59,54
1/31/2011,14,0.18,0.55,86
1/31/2011,15,0.16,0.59,44
1/31/2011,16,0.16,0.56,86
1/31/2011,17,0.16,0.59,161
1/31/2011,18,0.16,0.55,156
1/31/2011,19,0.3,0.61,111
1/31/2011,20,0.16,0.59,78
1/31/2011,21,0.16,0.59,56
1/31/2011,22,0.16,0.59,34
1/31/2011,23,0.16,0.64,17
2/1/2011,0,0.16,0.64,8
2/1/2011,1,0.16,0.69,3
2/1/2011,2,0.16,0.69,2
2/1/2011,3,0.16,0.69,2
2/1/2011,5,0.14,0.93,3
2/1/2011,6,0.14,0.93,22
2/1/2011,7,0.16,0.93,52
2/1/2011,8,0.16,0.93,135
2/1/2011,9,0.16,0.93,116
2/1/2011,10,0.16,0.93,47
2/1/2011,11,0.18,0.86,51
2/1/2011,12,0.2,0.86,55
2/1/2011,13,0.2,0.86,52
2/1/2011,14,0.22,0.8,54
2/1/2011,15,0.24,0.75,52
2/1/2011,16,0.24,0.75,64
2/1/2011,17,0.24,0.75,176
2/1/2011,18,0.24,0.81,168
2/1/2011,19,0.24,0.81,108
2/1/2011,20,0.22,0.87,74
2/1/2011,21,0.22,0.87,64
2/1/2011,22,0.22,0.87,36
2/1/2011,23,0.2,0.93,16
2/2/2011,0,0.22,0.93,2
2/2/2011,1,0.22,0.93,3
2/2/2011,2,0.22,0.93,4
2/2/2011,3,0.22,0.93,1
2/2/2011,4,0.22,0.93,1
2/2/2011,5,0.22,0.93,3
2/2/2011,6,0.22,0.93,18
2/2/2011,7,0.22,0.93,49
2/2/2011,8,0.22,0.93,155
2/2/2011,9,0.24,0.93,123
2/2/2011,10,0.22,1,61
2/2/2011,11,0.24,0.93,52
2/2/2011,12,0.24,0.93,64
2/2/2011,13,0.34,0.93,75
2/2/2011,14,0.38,0.82,63
2/2/2011,15,0.38,0.76,76
2/2/2011,16,0.36,0.71,103
2/2/2011,17,0.36,0.53,190
2/2/2011,18,0.34,0.42,182
2/2/2011,19,0.28,0.45,91
2/2/2011,20,0.24,0.48,75
2/2/2011,21,0.22,0.47,63
2/2/2011,22,0.22,0.44,40
2/2/2011,23,0.2,0.44,32
