instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,datetime
44,20110102,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,2011010220
45,20110102,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,2011010221
46,20110102,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,2011010222
47,20110102,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,2011010223
48,20110103,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,201101030
49,20110103,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,201101031
50,20110103,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,201101034
51,20110103,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,201101035
52,20110103,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,201101036
53,20110103,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,201101037
54,20110103,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,201101038
55,20110103,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,201101039
56,20110103,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,2011010310
57,20110103,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,2011010311
58,20110103,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,2011010312
59,20110103,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,2011010313
60,20110103,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,2011010314
61,20110103,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,2011010315
62,20110103,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,2011010316
63,20110103,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,2011010317
64,20110103,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,2011010318
65,20110103,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102,110,2011010319
66,20110103,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,2011010320
67,20110103,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,2011010321
68,20110103,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,2011010322
69,20110103,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,2011010323
70,20110104,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,201101040
71,20110104,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,201101041
72,20110104,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,201101042
73,20110104,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,201101044
74,20110104,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,201101045
75,20110104,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,201101046
76,20110104,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,201101047
77,20110104,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,201101048
78,20110104,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,201101049
79,20110104,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,2011010410
80,20110104,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,2011010411
81,20110104,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,2011010412
82,20110104,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,2011010413
83,20110104,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,2011010414
84,20110104,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,2011010415
85,20110104,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,2011010416
86,20110104,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,2011010417
87,20110104,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,2011010418
88,20110104,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,2011010419
89,20110104,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,2011010420
90,20110104,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48,48,2011010421
91,20110104,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,2011010422
92,20110104,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,2011010423
93,20110105,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6,6,201101050
94,20110105,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,201101051
95,20110105,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,201101052
96,20110105,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,201101054
97,20110105,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,201101055
98,20110105,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,201101056
99,20110105,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,201101057
100,20110105,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,201101058
101,20110105,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,201101059
102,20110105,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,2011010510
103,20110105,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,2011010511
104,20110105,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,2011010512
105,20110105,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,2011010513
106,20110105,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,2011010514
107,20110105,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,2011010515
108,20110105,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,2011010516
109,20110105,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,2011010517
110,20110105,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,2011010518
111,20110105,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,2011010519
112,20110105,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,2011010520
113,20110105,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,2011010521
114,20110105,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,2011010522
115,20110105,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19,2011010523
116,20110106,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11,11,201101060
117,20110106,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4,4,201101061
118,20110106,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2,2,201101062
119,20110106,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,201101064
120,20110106,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,201101065
121,20110106,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,201101066
122,20110106,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95,95,201101067
123,20110106,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216,219,201101068
124,20110106,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116,122,201101069
125,20110106,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42,45,2011010610
126,20110106,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,2011010611
127,20110106,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78,84,2011010612
128,20110106,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,2011010613
129,20110106,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,2011010614
130,20110106,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54,62,2011010615
131,20110106,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,2011010616
132,20110106,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,2011010617
133,20110106,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,2011010618
134,20110106,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,2011010619
135,20110106,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,2011010620
136,20110106,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,2011010621
137,20110106,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,2011010622
138,20110106,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,2011010623
139,20110107,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,201101070
140,20110107,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,201101071
141,20110107,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,201101072
142,20110107,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,201101074
143,20110107,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,0,5,5,201101075
144,20110107,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,26,34,201101076
145,20110107,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,201101077
146,20110107,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,201101078
147,20110107,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,201101079
148,20110107,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,2011010710
149,20110107,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,2011010711
150,20110107,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,2011010712
151,20110107,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,2011010713
152,20110107,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,2011010714
153,20110107,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,2011010715
154,20110107,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,2011010716
155,20110107,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,178,187,2011010717
156,20110107,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,2011010718
157,20110107,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,2011010719
158,20110107,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,2011010720
159,20110107,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,2011010721
160,20110107,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,2011010722
161,20110107,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,2011010723
162,20110108,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,201101080
163,20110108,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,201101081
164,20110108,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0,3,13,16,201101082
165,20110108,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,201101083
166,20110108,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,201101084
167,20110108,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,201101085
168,20110108,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,201101086
169,20110108,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,201101087
170,20110108,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,201101088
171,20110108,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,201101089
172,20110108,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,2011010810
173,20110108,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,2011010811
174,20110108,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,2011010812
175,20110108,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,2011010813
176,20110108,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,2011010814
177,20110108,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,2011010815
178,20110108,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,2011010816
179,20110108,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,2011010817
180,20110108,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,2011010818
181,20110108,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,2011010819
182,20110108,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,2011010820
183,20110108,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,2011010821
184,20110108,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,2011010822
185,20110108,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,2011010823
186,20110109,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,201101090
187,20110109,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,201101091
188,20110109,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,201101092
189,20110109,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,201101093
190,20110109,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,201101094
191,20110109,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,201101095
192,20110109,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,201101096
193,20110109,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,201101097
194,20110109,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,201101098
195,20110109,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,201101099
196,20110109,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,2011010910
197,20110109,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,2011010911
198,20110109,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,2011010912
199,20110109,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,2011010913
200,20110109,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,2011010914
201,20110109,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,2011010915
202,20110109,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,2011010916
203,20110109,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,2011010917
204,20110109,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,2011010918
205,20110109,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,2011010919
206,20110109,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,2011010920
207,20110109,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,2011010921
208,20110109,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,2011010922
209,20110109,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,2011010923
210,20110110,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,201101100
211,20110110,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,201101101
212,20110110,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,201101102
213,20110110,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,201101103
214,20110110,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,201101104
215,20110110,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,201101105
216,20110110,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,201101106
217,20110110,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,201101107
218,20110110,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,201101108
219,20110110,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,201101109
220,20110110,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,2011011010
221,20110110,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,2011011011
222,20110110,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,2011011012
223,20110110,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,2011011013
224,20110110,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,2011011014
225,20110110,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,2011011015
226,20110110,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,2011011016
227,20110110,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,2011011017
228,20110110,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,2011011018
229,20110110,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,2011011019
230,20110110,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,2011011020
231,20110110,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,2011011021
232,20110110,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,2011011022
233,20110110,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,2011011023
234,20110111,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,201101110
235,20110111,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,201101111
236,20110111,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,201101112
237,20110111,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,201101115
238,20110111,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,201101116
239,20110111,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0,2,97,99,201101117
240,20110111,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,201101118
241,20110111,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,201101119
242,20110111,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,2011011110
243,20110111,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,2011011111
244,20110111,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,2011011112
245,20110111,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52,2011011113
246,20110111,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63,2011011114
247,20110111,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47,2011011115
248,20110111,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76,2011011116
249,20110111,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136,2011011117
250,20110111,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95,2011011118
251,20110111,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0,0,51,51,2011011119
252,20110111,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32,2011011120
253,20110111,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20,2011011121
254,20110111,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29,2011011122
255,20110111,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19,2011011123
256,20110112,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7,201101120
257,20110112,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6,201101121
258,20110112,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1,201101122
259,20110112,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5,201101125
260,20110112,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16,201101126
261,20110112,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54,201101127
262,20110112,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128,201101128
263,20110112,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81,201101129
264,20110112,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39,2011011210
265,20110112,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35,2011011211
266,20110112,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55,2011011212
267,20110112,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49,2011011213
268,20110112,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44,2011011214
269,20110112,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48,49,2011011215
270,20110112,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,63,68,2011011216
271,20110112,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139,139,2011011217
272,20110112,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135,137,2011011218
273,20110112,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,82,83,2011011219
274,20110112,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54,56,2011011220
275,20110112,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57,57,2011011221
276,20110112,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,1,32,33,2011011222
